hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,0,0,0,0,0,0,1,0,0,0,132,0,133,0
1-2,0,102,0,20,0,0,9,0,0,78,28,0,237,0
5-6,0,0,14,0,0,0,2,0,0,0,0,0,16,0
6-7,0,0,0,0,0,0,0,0,0,0,0,8,8,0
8-9,0,0,0,0,0,0,6,0,0,0,0,0,6,0
9-10,0,0,0,0,0,0,1,0,0,0,4,0,5,0
10-11,0,0,0,0,0,0,10,0,0,0,0,0,10,0
11-12,0,0,0,0,0,0,1,0,0,0,0,15,16,0
12-13,0,2235,0,150,0,0,136,0,0,1693,1577,10,5801,1
13-14,8,7448,0,320,7,0,589,0,0,8027,37372,4,53775,14
14-15,12,11209,0,842,34,3,925,0,0,10250,70988,17,94280,28
15-16,20,16903,0,1495,132,6,1278,0,0,16066,221794,629,258323,69
16-17,16,10371,0,845,71,4,826,0,0,9416,126178,229,147956,39
17-18,12,9067,15,812,61,14,666,0,0,7880,56244,97,74868,52
