hour,bcmapp_record_count,bcmapp_processing_rate,crmapp_record_count,crmapp_processing_rate,omsapp_record_count,omsapp_processing_rate,armapp_record_count,armapp_processing_rate,cpq1app_record_count,cpq1app_processing_rate,cpq2app_record_count,cpq2app_processing_rate,cpq3app_record_count,cpq3app_processing_rate,cpq4app_record_count,cpq4app_processing_rate,odoapp_record_count,odoapp_processing_rate,asmapp_record_count,asmapp_processing_rate,tc_record_count,tc_processing_rate
0-1,6,333,64,2564,54,1159,0,0,30,1666,66,3025,6,316,34,1912,4392,4826,12,365,0,0
1-2,9,336,96,2444,81,1884,0,0,45,1388,99,3168,9,325,51,1580,129,1477,9,336,0,0
2-3,6,300,64,2274,54,1748,0,0,30,1687,69,1898,6,375,34,1717,216,2234,48,1791,0,0
3-4,3,54,38,1533,27,1928,0,0,15,1500,33,3000,27,1414,41,2277,2728,5308,102,2197,0,0
4-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,571,0,0,0,0
5-6,19,428,32,2461,0,0,0,0,3,375,3,333,3,333,0,0,43,1158,293,2216,0,0
6-7,3,300,32,2666,27,380,0,0,15,1500,33,3300,3,375,17,1700,43,1625,3,428,0,0
7-8,3,200,32,2461,27,2076,0,0,15,1500,33,647,3,166,17,1888,55,1146,3,428,0,0
8-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,888,0,0,0,0
9-10,0,0,0,0,23,851,0,0,28,2800,144,6857,6,600,22,916,123,1476,18,702,0,0
10-11,3,333,32,2666,0,0,0,0,15,1666,33,374,3,230,17,1700,212,1603,12,596,0,0
11-12,9,311,109,1462,251,1748,0,0,30,1583,66,1829,19,229,65,2620,290,1917,12,433,0,0
12-13,6,273,64,2666,54,1758,0,0,179,3608,334,3018,6,238,112,3037,454,3392,12,458,0,0
13-14,12,168,143,1167,273,1893,0,0,249,3467,503,4661,39,584,215,2661,2009,3282,30,392,0,0
14-15,9,180,111,1256,263,1407,0,0,30,1274,66,3102,25,529,67,1977,992,2940,30,594,0,0
15-16,6,213,64,2564,54,1108,490,4160,298,4433,478,4504,18,590,165,3494,1121,2942,9,361,0,0
16-17,14,413,122,1909,415,2810,50,1750,339,4235,774,3666,72,849,386,3900,3411,3990,24,361,0,0
17-18,9,325,100,2632,81,1710,0,0,45,1157,99,2700,9,145,51,1435,178,1516,18,520,0,0
18-19,6,337,64,1422,54,2002,0,0,30,1583,66,3300,6,164,34,2125,102,1298,6,375,0,0
19-20,6,275,64,1730,54,2076,0,0,30,1515,66,3483,6,240,34,1598,90,1296,6,316,0,0
20-21,6,300,64,966,54,2002,0,0,30,1687,66,3483,6,316,34,1794,86,1749,6,354,0,0
21-22,9,325,96,1383,81,1864,0,0,45,1472,99,2916,9,265,51,1853,129,1641,12,345,0,0
22-23,6,316,64,2133,54,1832,0,0,30,1875,66,3208,6,337,34,2125,86,1620,6,354,0,0
23-24,6,282,64,2333,54,1557,0,0,30,1666,66,3150,6,275,34,1888,86,1573,6,380,0,0
