hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,0,0,0,0,0,0,0,0,1472,0,0,0,1472,0
1-2,81,43842,4,4334,50,123,3684,0,0,38243,310192,1934,402487,333
2-3,0,206,0,48,0,0,16,0,0,135,57,0,462,0
3-4,0,301,0,71,0,0,24,0,0,182,84,0,662,0
4-5,0,2047,0,88,0,0,91,0,0,239,84,0,2549,1
5-6,0,334,10,40,0,0,43,0,0,1361,58,0,1846,0
6-7,0,203,15,40,0,0,17,0,0,116,56,7,454,0
7-8,0,233,0,39,0,0,26,0,0,124,102,0,524,0
8-9,0,205,0,38,0,0,16,0,0,144,56,0,459,0
9-10,0,328,0,59,0,0,30,0,0,226,84,0,727,0
10-11,0,206,0,39,0,0,16,0,0,146,58,0,465,0
11-12,0,208,0,40,0,0,18,0,0,148,57,0,471,0
12-13,0,225,0,40,0,0,20,0,0,144,56,0,485,0
13-14,0,1118,0,69,0,0,65,0,0,590,451,0,2293,0
14-15,0,450,0,66,0,0,33,0,0,205,85,0,839,0
15-16,0,233,0,37,0,0,20,0,0,304,57,47,698,0
16-17,0,235,0,36,0,0,20,0,0,138,56,25,510,0
17-18,0,244,14,38,0,0,20,0,0,117,56,0,489,0
