hour,bcmapp_record_count,bcmapp_processing_rate,crmapp_record_count,crmapp_processing_rate,omsapp_record_count,omsapp_processing_rate,armapp_record_count,armapp_processing_rate,cpq1app_record_count,cpq1app_processing_rate,cpq2app_record_count,cpq2app_processing_rate,cpq3app_record_count,cpq3app_processing_rate,cpq4app_record_count,cpq4app_processing_rate,odoapp_record_count,odoapp_processing_rate,asmapp_record_count,asmapp_processing_rate,tc_record_count,tc_processing_rate
4-5,17,281,159,1520,691,2227,0,0,669,3042,1379,3839,112,1194,726,3167,3201,5251,48,738,0,0
5-6,43,361,217,1406,731,2025,0,0,968,2753,1741,3977,150,942,1066,3260,3382,4452,323,980,0,0
6-7,56,513,306,1439,1552,2289,0,0,1579,3319,3337,4594,394,1307,2329,3544,79889,7601,474,1637,0,0
7-8,53,713,243,978,1259,2353,0,0,931,3225,2561,4172,338,1879,1599,4346,69511,8190,657,2187,0,0
8-9,59,788,292,1609,675,2493,0,0,405,3351,1319,4119,178,1742,761,4351,47911,5570,378,1837,0,0
9-10,64,557,434,1360,1892,2628,0,0,1701,3991,3700,5829,488,2077,2356,4766,90306,7610,642,1672,0,0
10-11,456,1886,119,1231,827,2823,0,0,463,4078,1089,3754,112,1773,893,4532,43017,7082,384,1958,0,0
11-12,63,568,329,1334,792,2517,0,0,616,3297,2232,5244,314,1954,975,4347,140082,7545,630,2024,0,0
12-13,12,750,82,1411,488,1888,209,3685,441,3320,1136,4302,194,2722,639,4238,94776,6935,309,1302,0,0
13-14,227,1833,41,1055,400,2420,327,7136,239,2338,405,2283,61,1782,428,3412,66187,6244,171,1215,0,0
14-15,478,3499,26,852,342,1560,0,0,21,786,39,1108,24,2400,237,2636,59325,7016,138,839,0,0
15-16,3,300,31,1078,5,98,0,0,0,0,0,0,24,2400,24,3000,19046,5840,36,591,0,0
16-17,90,1693,33,993,673,2761,0,0,750,4812,937,4746,82,1825,291,2971,55230,6659,51,749,0,0
17-18,60139,34,6129,30,0,0,0,0,0,0,0,0,0,0,260,7428,4477,6358,18,916,0,0
18-19,94563,45,21906,115,128,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,611,6,129,0,0
20-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,250,0,0
21-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,272,0,0
22-23,10,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,1570,0,0
