hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,0,368,0,81,0,0,30,0,0,222,102,111,914,0
1-2,0,577,0,100,0,0,46,0,0,256,72,0,1051,0
2-3,0,1012,0,94,0,0,102,0,0,2181,183,0,3572,0
3-4,8640,1603,0,742,0,112,118,0,0,1644,509,0,13368,14
6-7,0,0,0,17,0,0,0,0,0,0,0,1005,1022,0
7-8,0,0,0,45,0,0,0,0,0,0,0,518,563,0
8-9,0,0,0,8,0,0,0,0,0,0,0,245,253,0
9-10,0,0,0,1,0,0,0,0,0,0,0,236,237,0
10-11,0,0,0,7,0,0,0,0,0,0,0,200,207,0
11-12,0,0,0,16,0,0,0,0,0,0,0,165,181,0
13-14,0,0,0,17,0,0,0,0,0,0,385339,341,385697,160
14-15,0,0,0,47,0,0,0,0,0,0,94154,1271,95472,26
15-16,0,62604,0,4863,42,0,3795,0,0,47473,1346753,270,1465800,469
16-17,2571,162383,45,7013,233,36754,9620,0,0,131144,4177145,524,4527432,1236
17-18,8,13164,0,833,7,2,985,0,0,26935,753307,553,795794,262
18-19,1181020,28408,368,3254,52,1932,2379,0,0,29119,1692834,1114,2940480,1237
19-20,0,6914,0,267,0,0,463,0,0,6953,2140379,591,2155567,717
20-21,207,13654,41,2060,18,89,1408,0,0,12790,938435,120,968822,274
21-22,4,1279,0,82,7,0,116,0,0,1201,1539,0,4228,3
23-24,0,99,0,19,0,0,8,0,0,66,1109,0,1301,0
