hour,bcmapp_record_count,bcmapp_processing_rate,crmapp_record_count,crmapp_processing_rate,omsapp_record_count,omsapp_processing_rate,armapp_record_count,armapp_processing_rate,cpq1app_record_count,cpq1app_processing_rate,cpq2app_record_count,cpq2app_processing_rate,cpq3app_record_count,cpq3app_processing_rate,cpq4app_record_count,cpq4app_processing_rate,odoapp_record_count,odoapp_processing_rate,asmapp_record_count,asmapp_processing_rate,tc_record_count,tc_processing_rate
0-1,3,333,35,1260,0,0,219,3503,0,0,0,0,16,2000,42,3500,196,3320,3,375,0,0
1-2,8,377,61,718,239,2455,47,2350,230,2900,802,3863,52,874,257,3161,1053,3480,9,353,0,0
2-3,9,327,108,1248,323,2394,35,1376,219,3064,684,4394,64,1368,237,3108,2630,2782,21,385,0,0
3-4,17,823,48,567,136,2199,140,3424,69,1796,367,2432,72,1368,336,3695,13692,3770,39,722,0,0
4-5,6,300,62,1766,54,1882,440,3332,30,1666,66,3025,30,1236,70,2685,7786,2451,39,662,0,0
5-6,3,272,35,1541,54,2842,23335,12512,43,4777,190,7037,16,1777,42,2000,43,1509,3,61,0,0
6-7,13,438,16,1454,0,0,104,3776,0,0,0,0,0,0,0,0,0,0,290,3073,0,0
7-8,3,272,31,2384,32,2285,47,1847,3,428,12,1333,3,375,28,2333,55,1202,3,375,0,0
8-9,3,333,31,2583,32,2285,47,1880,3,375,12,1500,3,375,28,2800,100,1402,12,776,0,0
9-10,3,333,31,2384,34,2428,52,1677,3,375,12,1200,3,214,28,3111,1081,3130,6,333,0,0
10-11,0,0,0,0,0,0,613,5487,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-12,0,0,0,0,0,0,260,3022,0,0,0,0,0,0,0,0,4,444,0,0,0,0
12-13,0,0,0,0,0,0,47,1847,0,0,0,0,0,0,0,0,4,444,0,0,0,0
13-14,3,300,31,2583,32,2285,0,0,3,428,12,705,3,333,28,2800,104,840,12,616,0,0
14-15,9,221,87,2376,136,2568,225,2977,12,553,54,2071,12,453,112,2421,172,2100,12,509,0,0
15-16,0,0,0,0,0,0,36,2571,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-17,0,0,0,0,0,0,47,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-18,3,272,31,2583,32,1777,184,4582,3,428,12,1500,3,333,28,2800,43,1097,3,428,0,0
18-19,0,0,0,0,0,0,47,1916,0,0,0,0,0,0,0,0,4,444,0,0,0,0
19-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1309,24,1437,0,0
20-21,0,0,0,0,0,0,47,2110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-22,3,300,31,2066,32,2461,16,1777,3,375,12,1714,3,333,28,2000,43,1076,3,375,0,0
22-23,0,0,0,0,0,0,47,1817,0,0,0,0,0,0,0,0,0,0,3,333,0,0
23-24,0,0,0,0,0,0,25,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0
