hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,0,1209,0,97,0,0,84,0,0,1367,7513,0,10270,2
1-2,4,2557,0,164,7,0,246,0,0,3823,42594,164,49559,16
2-3,8,4756,0,281,14,0,424,0,0,6549,71366,114,83512,21
3-4,8,1977,0,271,13,2,218,0,0,2482,42884,97,47952,25
4-5,12,15053,0,268,0,0,775,0,0,9939,48127,9,74183,34
5-6,12,18718,4,443,14,4,800,0,0,11826,31925,104,63850,20
6-7,16,13344,0,815,20,10,891,0,0,13719,116032,512,145359,38
7-8,4,11338,0,1231,0,47,580,0,0,6839,100829,269,121137,39
8-9,0,2045,0,206,0,4,139,0,0,1281,12729,172,16576,7
9-10,8,4727,0,351,14,0,468,0,0,7540,109814,285,123207,39
10-11,12,42700,0,645,13,4,1318,0,0,33241,95817,233,173983,46
11-12,0,0,4,0,0,0,0,0,0,0,2672,55,2731,4
12-13,8,3821,0,232,14,0,367,0,0,6084,37193,154,47873,15
13-14,8,3856,0,362,13,2,364,0,0,4379,54695,122,63801,20
14-15,0,19,0,39,0,0,17,0,0,124,33570,174,33943,13
15-16,4,1701,0,92,7,0,134,0,0,2594,48137,247,52916,19
16-17,12,7346,0,809,27,15,654,0,0,9347,96692,230,115132,31
17-18,0,0,0,0,0,0,9,0,0,0,4736,83,4828,7
18-19,4,1990,0,128,7,0,195,0,0,2529,42061,227,47141,25
19-20,8,2787,8740,368,13,2,205,0,0,4012,51344,176,67655,34
20-21,4,0,0,75,0,0,4,0,0,513,2642,46,3284,2
21-22,4,2462,0,153,14,0,148,0,0,3384,65585,218,71968,23
22-23,4,3576,0,178,7,0,306,0,0,4208,56591,218,65088,18
23-24,0,1191,0,37,0,0,82,0,0,1488,889,0,3687,3
