hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,0,317,0,136,0,3,19,0,1472,212,2905,14,5078,4
1-2,0,7003,0,322,0,0,541,0,0,5502,2626,0,15994,7
2-3,12,7243,0,634,12,2,698,0,0,7540,67643,99,83883,22
3-4,8,4273,0,491,0,14,340,0,0,3947,49717,239,59029,15
4-5,0,6944,0,393,0,0,473,0,0,5874,2482,48,16214,2
5-6,576,19788,29,1278,64,46,1744,0,0,18950,192500,27159,262134,74
6-7,20,43795,0,1292,31,6,2691,0,0,24756,263164,1593,337348,91
7-8,34,20737,0,2177,65,80,2153,716,0,21597,186478,1736,235773,62
8-9,0,6127,16,296,0,0,461,0,0,4223,31518,932,43573,11
9-10,20,34908,0,2240,18,49,2952,0,0,30304,196643,1214,268348,71
10-11,34,36391,0,1487,14,17,2677,0,0,35158,242138,1661,319577,86
11-12,28,33326,0,1320,14,8,2691,0,0,37033,395199,1558,471177,113
12-13,15,24467,0,1464,12,108,2021,0,0,26088,292280,1959,348414,94
13-14,32,24991,0,1211,6,0,2081,0,0,22250,195370,1253,247194,66
14-15,20,43780,0,5270,38,171,2847,0,0,36104,263071,986,352287,95
15-16,55,35239,0,3242,86,143,2759,0,0,36186,403659,1946,483315,131
16-17,38,22523,0,2188,56,167,1758,0,0,23142,273595,641,324108,87
17-18,12,9506,0,1620,45,157,754,0,0,8496,175613,558,196761,111
