hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,2236,0,141,88,379,0,15,0,0,14,408,0,3281,0
2-3,42,0,14,4,12,0,2,0,0,0,52,0,126,0
3-4,349,0,36,33,119,0,9,0,0,6,0,45,597,0
4-5,0,0,0,0,14,0,2,0,0,0,164,122,302,0
5-6,0,214,136,30,0,0,41,0,0,151,33246,336,34154,18
6-7,0,2580,0,504,0,42,163,0,0,1390,5432,776,10887,2
7-8,0,175,0,17,7,0,27,0,0,291,29,1700,2246,0
8-9,0,1998,780,59,0,0,105,0,0,1729,623,3093,8387,0
9-10,0,2009,0,95,0,0,119,0,0,2224,3765,3110,11322,2
10-11,8,4752,0,283,21,0,363,0,0,6342,41395,4239,57403,14
11-12,0,843,0,21,0,0,39,0,0,451,29,1299,2682,0
12-13,4,1335,0,105,7,0,122,0,0,1692,20421,1391,25077,5
13-14,0,289,40,31,0,0,24,0,0,237,317,1578,2516,0
14-15,0,3102,0,54,0,0,152,0,0,1893,0,1875,7076,3
15-16,0,2625,18,49,0,0,106,0,0,2159,404,1122,6483,2
16-17,0,1714,11532,5,0,0,69,0,0,747,0,1109,15176,20
17-18,0,2918,0,11,210,0,129,0,0,1409,0,600,5277,1
18-19,0,2336,0,46,0,0,150,0,0,1972,684,887,6075,0
19-20,4,2402,0,108,7,0,191,0,0,2611,57538,362,63223,33
20-21,0,4678,24,18,0,0,249,0,0,1336,33,1252,7590,1
21-22,0,241,0,1,0,0,10,0,0,61,0,361,674,0
22-23,0,671,0,0,0,0,22,0,0,206,0,544,1443,1
23-24,0,0,0,0,0,0,0,0,0,0,0,609,609,0
