hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
2-3,0,0,0,0,0,0,0,0,1472,0,0,0,1472,22
3-4,0,17043,0,2998,0,45,1098,0,1472,16166,113139,3676,155637,129
4-5,8,5240,0,476,28,0,525,0,0,6390,100933,327,113927,30
5-6,12,47486,0,1134,21,3,2957,0,0,27189,143156,685,222643,59
6-7,66,47777,104,3726,193,170,3676,0,0,38550,260908,1079,356249,97
7-8,28,30185,0,2089,33,34,2241,0,0,22853,276186,1695,335344,90
8-9,8,12644,0,1058,19,15,932,0,0,10985,148960,752,175373,47
9-10,8,38942,0,1800,27,32,2512,0,0,26795,305127,2993,378236,101
10-11,4,42348,0,2101,42,37,2841,0,0,29443,181096,1229,259141,79
11-12,8,47759,0,1384,31,35,3311,0,0,30328,426611,3189,512656,139
12-13,32,50823,0,3352,67,24,3809,0,0,38365,353841,2440,452753,123
13-14,16,38231,0,2061,27,69,2552,0,0,40276,177462,863,261557,70
14-15,16,24795,0,960,36,21,1710,0,0,21862,142355,1068,192823,51
15-16,18,17141,0,1191,27,31,1359,0,0,19269,97661,990,137687,36
16-17,64,45453,16,2653,35,150,3104,0,0,34358,215395,603,301831,80
17-18,31,41098,0,5016,60,153,3429,0,0,32961,507542,2103,592393,161
18-19,24,35276,0,2084,53,45,2213,0,0,26311,236364,1049,303419,81
19-20,31,28299,0,1443,58,10,2224,0,0,26304,337829,2253,398451,107
20-21,16,19926,0,868,39,18,1691,0,0,23548,127047,1102,174255,46
21-22,4,16499,0,663,26,0,1090,0,0,14115,64213,1039,97649,24
22-23,0,2120,0,396,0,19,131,0,0,1453,2276,45,6440,6
