hour,bcmapp_record_count,bcmapp_processing_rate,crmapp_record_count,crmapp_processing_rate,omsapp_record_count,omsapp_processing_rate,armapp_record_count,armapp_processing_rate,cpq1app_record_count,cpq1app_processing_rate,cpq2app_record_count,cpq2app_processing_rate,cpq3app_record_count,cpq3app_processing_rate,cpq4app_record_count,cpq4app_processing_rate,odoapp_record_count,odoapp_processing_rate,asmapp_record_count,asmapp_processing_rate,tc_record_count,tc_processing_rate
0-1,95008,61,28067,234,155,798,0,0,15,1500,33,2750,3,333,17,1888,0,0,27,1250,0,0
2-3,482,547,624,829,2178,1777,0,0,1563,2021,3843,2916,486,938,2463,2639,0,0,663,942,0,0
3-4,48,419,328,1215,972,2123,0,0,738,2696,1745,3473,240,1000,1100,3327,0,0,306,1333,0,0
4-5,435,1018,408,1551,2336,2559,0,0,2291,3621,3983,4522,507,1590,2805,4293,0,0,441,941,0,0
5-6,563,985,311,2081,1021,2604,0,0,667,3551,1064,4166,82,968,235,4395,0,0,545,1329,0,0
6-7,571,1558,737,2029,4564,2802,0,0,4242,4471,6724,5979,614,1588,4996,4862,0,0,697,1593,0,0
7-8,2384,2276,835,1806,4909,3195,18136,7139,3754,4381,7299,6039,1176,2277,6984,6477,915767,10167,1811,2660,0,0
8-9,1580,2729,538,1639,5012,2980,34318,7061,4690,4438,5644,5529,606,1972,4295,4860,1922920,9219,1285,2460,0,0
9-10,948,1541,621,1993,4852,3276,6849,6193,5713,5830,5891,5671,559,2158,5708,5083,181526,8625,1261,2088,0,0
10-11,3025,3202,921,2127,11852,3323,13542,8365,9183,5817,12884,7874,1035,2392,11717,7286,401677,9696,1812,2700,0,0
11-12,1966,2706,630,2049,6350,3012,9779,7455,4685,4774,7146,6644,764,2815,6674,6272,265730,9336,1101,2219,0,0
12-13,1499,2150,811,2008,4953,3170,12399,7495,3998,5221,7480,6520,754,2299,4792,5796,205909,9089,873,1882,0,0
13-14,1498,2303,997,2181,4288,3151,6768,6576,3184,5101,7407,7011,909,2335,4986,5450,202101,9415,1067,2262,0,0
14-15,426,1332,480,1588,1835,2795,7794,6796,1718,4191,3061,5024,371,1649,1832,4252,108096,7069,741,1861,0,0
15-16,1092,1982,566,1856,2943,3233,5938,6278,2250,4475,4516,5563,496,1797,3212,5407,135785,8327,792,1784,0,0
16-17,389,1048,417,2070,1379,2569,10753,7279,1117,3933,2163,5402,263,1564,1258,3898,83317,6846,510,1375,0,0
17-18,1265,2036,733,1769,3452,3074,5498,6090,2760,4995,5041,5492,743,2566,3791,5235,183623,9033,861,1858,0,0
18-19,1014,2044,656,2005,4766,3315,4628,6667,3985,5116,7043,6744,987,3092,6884,6352,246188,9188,1134,2362,0,0
19-20,2374,2899,232,1417,2668,3315,5727,6657,1522,4964,2615,5675,295,1117,2924,5577,251450,8892,3399,3239,0,0
20-21,680,2122,339,1390,1516,3169,1834,5190,1054,4128,1810,3576,276,1898,1652,4696,108415,7686,504,1477,0,0
21-22,24,520,169,1577,825,2982,832,4600,1155,5779,1587,5507,125,1690,837,4505,19321,6373,114,1125,0,0
22-23,16,524,80,2343,277,2966,7,1166,15,1666,129,4090,12,316,17,1888,110,1852,369,3331,0,0
23-24,42,619,220,2198,663,2974,209,4644,869,5301,1528,5667,158,1492,865,4755,24495,5654,84,721,0,0
