hour,bcmapp_record_count,bcmapp_processing_rate,crmapp_record_count,crmapp_processing_rate,omsapp_record_count,omsapp_processing_rate,armapp_record_count,armapp_processing_rate,cpq1app_record_count,cpq1app_processing_rate,cpq2app_record_count,cpq2app_processing_rate,cpq3app_record_count,cpq3app_processing_rate,cpq4app_record_count,cpq4app_processing_rate,odoapp_record_count,odoapp_processing_rate,asmapp_record_count,asmapp_processing_rate,tc_record_count,tc_processing_rate
1-2,9,900,104,1562,0,0,0,0,45,4500,99,5500,35,1681,95,4161,129,4636,15,1500,0,0
2-3,17,850,52,1154,558,1814,0,0,476,2755,1055,3548,70,1263,391,3229,5333,6249,39,977,0,0
3-4,3,375,38,1276,0,0,2183561,9325,0,0,0,0,18,1020,39,2437,43,1416,3,300,0,0
4-5,3,272,52,951,471,2141,3084918,15451,468,3689,731,3896,49,1047,428,2935,13100,6763,87,1505,0,0
5-6,16,299,0,0,116,2786,3322,6341,137,5507,99,2600,0,0,72,3275,251,3123,293,2323,0,0
6-7,0,0,0,0,0,0,1140,5189,0,0,0,0,0,0,0,0,61,1139,0,0,0,0
7-8,0,0,0,0,0,0,843,4428,0,0,0,0,0,0,0,0,9,1000,0,0,0,0
8-9,639082,7892,145233,9239,405551,3706,3297,4474,296510,6988,272697,6393,11158,3959,167407,6221,659,4388,21,645,0,0
9-10,52,757,235,1819,524,2489,13087,7679,572,3360,1370,4048,221,1602,760,4023,39782,7733,195,1413,0,0
10-11,329,1149,1576,2611,5811,3480,70821,8251,5429,5626,10568,7267,1188,2802,5615,5972,86166,8067,336,1073,0,0
11-12,410349,4584,56570,5215,270062,3673,11620,7983,171437,4956,135987,5210,6021,3348,83530,5689,129752,8457,510,2063,0,0
12-13,1157160,7102,114205,6092,642579,4041,5815,6684,384007,5750,333595,6656,12761,4140,245707,5237,66405,6899,168,1114,0,0
13-14,23,633,96,1150,1374,2894,7710,6693,1306,4456,1883,6223,168,1806,1229,5087,98260,7335,411,1586,0,0
14-15,724,5021,15,512,378,5347,7381,6694,12,666,30,1194,0,0,236,4917,26090,6434,156,1108,0,0
15-16,13,566,31,958,476,2520,3141,4831,657,3910,675,5163,31,593,462,5582,1058,3647,18,393,0,0
16-17,5,500,16,930,994,2770,27659,8005,1189,3679,1638,4441,122,1156,1422,4045,21465,8798,93,773,0,0
17-18,5,87,10,1000,268,2901,7542,7624,103,6437,478,9463,28,3500,332,5700,20228,5589,39,2166,0,0
18-19,0,0,0,0,0,0,2115,4569,0,0,6,545,0,0,0,0,0,0,0,0,0,0
19-20,0,0,0,0,0,0,2418,4479,0,0,0,0,0,0,0,0,0,0,9,361,0,0
20-21,0,0,0,0,0,0,3687,5819,0,0,0,0,0,0,0,0,0,0,3,300,0,0
21-22,0,0,0,0,0,0,12828,9965,0,0,0,0,0,0,0,0,0,0,3,375,0,0
22-23,10,909,0,0,0,0,18277,7587,0,0,0,0,0,0,0,0,0,0,357,4072,0,0
23-24,0,0,0,0,0,0,23998,9653,0,0,0,0,0,0,0,0,0,0,0,0,0,0
