hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,0,0,0,0,0,0,2,0,0,0,10117,0,10119,4
1-2,0,0,0,0,0,0,0,0,0,0,126,0,126,0
3-4,0,0,0,0,0,0,1,0,0,0,0,0,1,0
4-5,0,14944,0,336,0,0,658,0,0,6534,837,112,23421,6
5-6,516,17793,0,4875,70,587,992,0,0,14654,175,461,40123,17
6-7,32,35431,0,1984,70,20,2562,0,0,33483,332287,2038,407907,110
7-8,12,43130,0,1471,38,28,2155,0,0,29038,35703,2629,114204,34
8-9,16,17240,0,1121,77,11,1182,0,0,13733,983513,2340,1019233,280
9-10,16,48237,0,1603,59,28,2752,0,0,35315,72057,2172,162239,51
10-11,1933,106220,0,3832,113,111,4829,0,0,76370,1363358,90491,1647257,455
11-12,16,25574,0,1610,34,32,2130,0,0,19630,271962,11048,332036,107
12-13,20,43502,0,2853,40,53,2283,0,0,29865,1328837,1926,1409379,389
13-14,12,20903,0,2017,28,31,1793,0,0,24084,945669,5768,1000305,330
14-15,8,19872,0,1636,36,47,1748,0,0,14893,900367,3856,942463,260
15-16,23,5914,0,1702,33,26,9938,0,0,11816,454925,2442,486819,158
16-17,0,8471,0,429,0,6,751,0,0,7479,406147,1247,424530,116
17-18,4,6045,0,269,7,2,521,0,0,2929,149599,992,160368,52
18-19,8,24435,0,611,20,4,1225,0,0,14372,1018796,1019,1060490,291
19-20,8,7777,0,325,20,12,575,692,0,6052,471556,481,487498,162
20-21,4,3339,0,281,33,0,452,0,0,5512,1618796,901,1629318,451
21-22,0,0,0,0,0,0,1,0,0,0,1672,149,1822,1
