hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,45145,0,0,509,0,313,0,0,0,0,1068,14,47049,75
1-2,0,0,0,0,0,0,0,0,1472,0,0,0,1472,0
2-3,0,469,0,65,0,0,34,0,0,420,325,2,1315,0
3-4,4,2421,0,94,0,0,201,0,0,2711,17832,2,23265,6
4-5,4,12941,0,750,116,0,1044,0,0,11382,121878,1271,149386,39
5-6,20,34894,0,3935,76,58,2311,0,0,26738,193301,1658,262991,70
6-7,378,20593,205,2867,159,33,1674,0,0,20139,244072,1074,291194,81
7-8,28,36253,0,75701,201847,7,51761,0,0,35075,313646,2502,716820,208
8-9,60,27745,0,2614,146,30,2287,0,0,31077,454982,2310,521251,141
9-10,48,34991,0,4372,301,50,2396,0,0,30362,422645,2646,497811,135
10-11,20,27277,0,768,62,3,1943,0,0,19548,189707,2875,242203,64
11-12,28,30893,0,3517,138,42,2311,0,0,23974,382550,1845,445298,120
12-13,32,24731,0,1164,292,4,2075,0,0,23156,220468,1419,273341,73
13-14,37,27467,10,2825,137,41,1847,0,0,22224,199703,2093,256384,68
14-15,20,20970,0,1154,112,12,1304,0,0,12672,172640,1790,210674,55
15-16,4,19140,0,852,40,2,1084,0,0,13959,45901,1202,82184,20
16-17,12,9015,0,560,51,2,816,0,0,12089,145524,380,168449,47
17-18,0,477,0,0,7,0,67,0,0,255,10364,1127,12297,8
18-19,16,9334,0,965,27,8,593,0,0,7067,77353,1617,96980,37
19-20,16,17123,0,1753,150,22,1048,0,0,14291,164294,1356,200053,52
20-21,0,5646,0,597,2,24,261,0,0,3472,12151,1095,23248,7
21-22,0,6483,0,42,0,0,366,0,0,5808,517,258,13474,3
22-23,0,0,0,25,0,0,1,0,0,131,922,4,1083,1
23-24,0,475,0,47,0,0,31,0,0,418,190,0,1161,0
