hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,0,0,0,0,0,0,2,0,0,0,19,0,21,0
2-3,0,0,0,0,0,0,0,0,0,0,444,0,444,0
3-4,0,0,0,0,0,0,1,0,0,0,0,2,3,0
4-5,0,0,0,0,2,0,0,0,0,0,0,106,108,0
5-6,0,51,48,0,0,0,48,0,0,34,10348,82,10611,5
6-7,0,1294,0,44,0,0,84,0,0,961,1032,2146,5561,2
7-8,0,335,0,4,0,0,20,0,0,210,744,733,2046,1
8-9,0,1105,0,72,0,0,132,0,0,1857,29,1989,5184,1
9-10,2792,4487,21,331,521,0,392,0,0,5932,40508,1544,56528,16
10-11,8,3426,0,421,14,4,258,0,0,4663,6227,317,15338,22
11-12,676,2848,36,203,170,0,229,0,0,5384,67859,2186,79591,26
12-13,4,2619,0,485,0,0,207,0,0,1354,44275,1569,50513,13
13-14,0,3979,0,634,8,8,259,0,0,3265,144248,1517,153918,50
14-15,21,10369,0,898,36,18,700,0,0,7951,43699,2085,65777,19
15-16,8,6850,0,320,0,0,492,0,0,6875,31392,1298,47235,17
16-17,4,4611,0,405,0,0,350,0,0,3537,51465,1142,61514,15
17-18,8,5166,0,333,0,0,307,0,0,2485,38051,587,46937,13
18-19,0,9637,0,122,0,0,492,0,0,4700,949,384,16284,3
19-20,4,7462,0,159,0,0,474,0,0,4968,29515,997,43579,15
20-21,4,1943,0,154,14,0,152,0,0,1892,25628,644,30431,23
21-22,8,1733,0,166,0,0,151,0,0,2362,29020,312,33752,12
22-23,0,5061,0,178,0,0,336,0,0,5223,121,515,11434,2
23-24,4,2031,0,123,0,0,198,0,0,2464,21966,533,27319,14
