hour,bcmapp_record_count,bcmapp_processing_rate,crmapp_record_count,crmapp_processing_rate,omsapp_record_count,omsapp_processing_rate,armapp_record_count,armapp_processing_rate,cpq1app_record_count,cpq1app_processing_rate,cpq2app_record_count,cpq2app_processing_rate,cpq3app_record_count,cpq3app_processing_rate,cpq4app_record_count,cpq4app_processing_rate,odoapp_record_count,odoapp_processing_rate,asmapp_record_count,asmapp_processing_rate,tc_record_count,tc_processing_rate
0-1,32,397,161,1928,365,2157,186,5739,236,2962,764,3869,113,1331,530,4620,23760,5847,195,1709,0,0
1-2,33,381,254,1791,772,2850,13,325,719,3996,1473,4650,102,1108,691,4100,3812,3361,36,475,0,0
2-3,229,1108,240,1297,798,3248,444,4183,442,3503,1167,4799,193,1379,872,4201,46829,6301,237,1720,0,0
3-4,30,392,232,2507,779,3202,94,2850,623,5065,1327,5738,130,1306,695,4062,16670,4823,75,891,0,0
4-5,258,1252,521,1921,2173,3080,937,4753,1712,4939,3696,5363,521,1952,2819,5192,92177,7418,609,1811,0,0
5-6,567,1943,214,1764,722,2596,6435,7292,495,3002,687,3681,84,1088,567,3237,34981,5731,622,1691,0,0
6-7,61646,3288,414,1633,3784,3400,4193,5579,3951,5221,5467,6075,513,1637,3915,5355,111619,8134,1078,2439,0,0
7-8,841,2074,666,2007,4010,3257,6900,7196,3309,5476,5226,5721,673,1964,4721,5829,199548,8218,948,2092,0,0
8-9,633,1657,695,1903,2936,3023,5714,6306,2579,4678,4667,6099,533,1705,2735,4838,112326,7990,504,1280,0,0
9-10,1613,2260,846,2130,4326,3530,10759,7612,3726,5573,7623,6464,836,2142,4940,5507,174114,8540,924,1933,0,0
10-11,557,1610,467,1688,3682,3420,4840,6118,4052,5631,5657,6065,740,2189,3999,5439,147483,8499,732,1982,0,0
11-12,878,2137,463,1885,2989,3056,6374,6710,2397,5238,4338,5293,597,1997,3554,5977,129268,8257,1086,2440,0,0
12-13,668,1890,538,1967,3778,3327,9494,7619,2997,5564,5603,5617,911,2235,5296,6427,239302,8854,774,1859,0,0
13-14,567,1516,1009,2567,5586,3467,5880,6753,5338,6612,7979,6777,942,2632,5861,6014,228845,8862,633,1618,0,0
14-15,1147,1476,1055,2571,9698,3818,4779,5794,8856,7200,13190,7746,1140,3017,8775,6646,271289,10214,1245,2497,0,0
15-16,404,1387,892,2553,5920,3830,5426,6311,8016,6903,10246,7173,1191,3112,6397,6515,251374,9762,1449,2491,0,0
16-17,2835,3045,470,1571,6554,4423,6752,6677,5075,6040,6556,6447,780,2813,6299,6692,402610,9600,1643,3070,0,0
17-18,1999,3207,577,1839,4264,3817,4609,6674,3627,5356,5387,5273,677,2752,4854,7025,289836,9535,1137,2433,0,0
18-19,3176,3620,723,1831,5397,3646,4960,6383,3549,6099,6303,5742,737,2402,5241,6574,206154,9250,1404,2810,0,0
19-20,5437,3261,458,1745,4846,3818,3718,5832,5151,5935,7067,6871,821,2618,5878,6438,244828,9091,1326,2406,0,0
20-21,1578,4049,386,1572,4411,3773,3552,6091,3576,5428,6120,6550,681,2573,5545,6514,262888,8401,1230,2461,0,0
21-22,415,1645,182,1894,951,3035,163,2355,742,3696,1456,5347,127,1362,1141,4729,32990,5847,246,1286,0,0
22-23,22,405,176,2153,462,2694,0,0,357,4334,775,5183,92,1839,376,4782,1495,2994,390,2410,0,0
23-24,39,586,198,1646,662,3156,231,3979,479,3870,1315,5102,179,1650,853,4337,39651,6804,159,1079,0,0
