hour,bcmapp_record_count,bcmapp_processing_rate,crmapp_record_count,crmapp_processing_rate,omsapp_record_count,omsapp_processing_rate,armapp_record_count,armapp_processing_rate,cpq1app_record_count,cpq1app_processing_rate,cpq2app_record_count,cpq2app_processing_rate,cpq3app_record_count,cpq3app_processing_rate,cpq4app_record_count,cpq4app_processing_rate,odoapp_record_count,odoapp_processing_rate,asmapp_record_count,asmapp_processing_rate,tc_record_count,tc_processing_rate
0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,300,0,0,0,0
1-2,0,0,0,0,0,0,431,10775,0,0,0,0,0,0,0,0,0,0,9,483,0,0
4-5,0,0,0,0,0,0,25,1562,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-6,143,819,6,666,0,0,26029,6488,0,0,0,0,21,1909,36,3600,11934,3486,410,2075,0,0
6-7,11,357,45,1147,239,2682,6715,6037,314,2709,456,3165,90,877,610,3454,1087,1949,48,986,0,0
7-8,35,657,127,946,1415,2660,4601,6304,1512,4035,2440,4640,275,1526,2029,3996,12020,6074,138,856,0,0
8-9,38,779,134,1332,881,2841,7135,7191,915,3832,1538,3343,237,1402,1505,3994,49766,5301,528,2227,0,0
9-10,3,300,35,1239,128,2589,8273,5836,103,3150,227,4281,13,666,91,2397,5534,3525,51,485,0,0
10-11,11,369,44,1042,516,2710,14872,7750,684,4896,702,3315,100,803,704,3417,17212,4094,60,541,0,0
11-12,0,0,0,0,0,0,10830,6890,15,700,91,4318,9,750,64,3200,141,1534,30,494,0,0
12-13,12,314,0,0,0,0,11379,7146,0,0,0,0,0,0,0,0,4,333,773,2669,0,0
13-14,0,0,0,0,0,0,5456,6551,0,0,0,0,0,0,0,0,0,0,12,327,0,0
14-15,0,0,0,0,214,2495,5752,5411,211,3746,303,5824,9,379,138,2538,3,333,24,681,0,0
15-16,0,0,0,0,532,2334,7235,6296,1007,4369,644,3989,69,917,551,2997,46,1227,9,347,0,0
16-17,0,0,0,0,532,2568,3005,5425,825,3677,897,3232,54,543,821,3458,3,333,0,0,0,0
17-18,3,300,28,2153,599,2495,3488,5892,646,3767,1186,6121,33,721,641,4156,86,1317,6,354,0,0
18-19,0,0,0,0,459,2582,2837,4903,528,3674,921,5421,33,1217,526,4087,43,1525,6,333,0,0
19-20,1,66,0,0,0,0,3497,5447,0,0,0,0,0,0,0,0,0,0,9,500,0,0
20-21,6,666,22,1222,28,2545,871,3627,87,7909,15,1363,3,272,16,1454,0,0,82,1401,0,0
21-22,0,0,0,0,0,0,543,3366,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-23,0,0,0,0,0,0,878,4227,0,0,0,0,0,0,0,0,0,0,3,333,0,0
