hour,bcmapp_record_count,bcmapp_processing_rate,crmapp_record_count,crmapp_processing_rate,omsapp_record_count,omsapp_processing_rate,armapp_record_count,armapp_processing_rate,cpq1app_record_count,cpq1app_processing_rate,cpq2app_record_count,cpq2app_processing_rate,cpq3app_record_count,cpq3app_processing_rate,cpq4app_record_count,cpq4app_processing_rate,odoapp_record_count,odoapp_processing_rate,asmapp_record_count,asmapp_processing_rate,tc_record_count,tc_processing_rate
0-1,94272,40,27910,124,185,300,24975,6134,49,512,105,516,15,195,160,842,1013,785,585,454,0,0
1-2,3,125,35,534,330,1247,4211,7674,458,1825,603,1720,45,547,418,1496,448,1027,87,427,0,0
2-3,0,0,10,357,119,2428,0,0,127,2540,59,2809,0,0,52,2476,150,941,24,516,0,0
3-4,94262,46,27880,64,128,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-5,1341,760,768,685,4818,1576,32934,5737,4566,2099,6659,2633,738,951,6315,2926,196432,4181,1553,539,0,0
5-6,67,372,601,1262,2632,2716,24023,7542,2572,3859,3651,4035,447,1185,2583,3600,15135,4628,186,496,0,0
6-7,1013,879,713,1579,4073,3402,2160,4735,3375,5000,17912,6615,584,2017,3913,5373,139712,8247,902,1650,0,0
7-8,4818,3114,882,1647,9732,3873,4977,5506,8815,5810,11144,7228,1066,2158,7628,5350,208400,9382,936,1822,0,0
8-9,1407,1729,1124,1852,5152,3363,4460,5188,4681,5009,8789,6965,918,2092,5842,4935,118875,6752,597,1345,0,0
9-10,1844,2153,1660,2025,11407,3570,3324,5255,10752,5509,16562,8611,2023,3365,13338,6928,372109,9159,1320,2300,0,0
10-11,4016,3469,1448,2118,11178,3920,14877,6711,9289,5710,11593,7331,2147,3687,13854,7768,785832,10884,2466,3227,0,0
11-12,403,1554,634,1717,3408,3183,9623,7541,2720,4014,5064,5076,681,1688,4476,5071,182788,8664,1351,2376,0,0
12-13,2402,2698,769,1721,6528,3599,3081,4923,5188,4569,7596,6893,996,2055,7345,6329,224190,9796,10944,4761,0,0
13-14,2125,2748,728,1872,4626,3446,4504,5877,3524,5605,6732,6215,1021,2506,6079,6402,275413,8567,1281,2768,0,0
14-15,787,1879,809,2108,7574,3468,8036,7212,7632,6023,11564,7241,1169,2201,9302,6930,333061,8903,5697,4672,0,0
15-16,1648,3044,438,1381,5818,3250,3038,5947,5464,5834,6962,6302,936,1947,8726,6761,238498,8420,951,2444,0,0
16-17,806,2066,755,1825,4659,3234,5712,6376,3747,5400,6592,5837,871,2043,6478,6046,268638,8814,981,2074,0,0
17-18,662,1759,505,1568,4025,3356,3337,5296,3938,5010,5647,6122,668,1916,4215,5560,130492,7735,1428,2425,0,0
18-19,898,2085,576,1634,4008,3314,3014,4492,4336,5613,4997,5574,598,1841,4249,5806,114125,8396,1185,2631,0,0
19-20,145,949,517,1850,3054,3115,2676,4421,2363,4881,4619,5485,669,2244,4147,5389,200804,7614,1800,3531,0,0
20-21,847,1989,335,1496,3320,3190,723,3059,2722,5569,4547,5372,541,2200,3870,5682,79177,7394,681,1790,0,0
21-22,24,320,387,1669,2015,2545,3649,5708,2854,4564,2791,4326,410,1559,2226,5035,159966,7531,399,1349,0,0
22-23,32,467,213,1448,722,2638,0,0,685,3556,1468,5229,139,1011,918,3977,1003,2565,285,1092,0,0
23-24,3,250,35,625,270,1349,65,1991,248,4814,406,3194,53,927,241,4402,1893,2941,21,365,0,0
