hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,4,3981,0,202,0,0,326,0,0,4895,19854,0,29262,11
1-2,0,578,0,53,0,0,42,0,0,501,58,0,1232,0
2-3,4,2879,0,189,14,0,266,0,0,3115,27357,0,33824,18
3-4,12,7722,0,601,7,2,629,0,0,9280,60905,0,79158,20
4-5,16,16462,0,518,0,0,1469,0,0,19940,84839,0,123244,33
5-6,4,6031,0,144,0,0,571,0,0,6674,149191,0,162615,55
7-8,24,34913,0,2739,19,35,2057,0,0,25347,256031,2567,323732,178
8-9,8,21057,0,736,14,10,1391,0,0,17538,179954,227,220935,58
9-10,0,28098,0,312,0,0,1592,0,0,21969,130559,93,182623,70
10-11,4,26298,0,494,7,0,1909,0,0,24880,158024,304,211920,56
11-12,8,28009,0,609,0,3,1633,0,0,22225,162617,260,215364,70
12-13,18,18985,0,543,0,2,1616,0,0,12379,177911,692,212146,69
13-14,4,8822,0,901,12,7,496,0,0,4988,102941,224,118395,37
14-15,0,9615,0,1056,2,0,744,0,0,9637,28606,191,49851,16
15-16,0,3331,0,291,0,0,199,0,0,2637,4112,12,10582,4
16-17,0,6845,9620,151,0,0,594,0,0,5040,23444,27,45721,18
17-18,4,4148,0,300,0,0,501,0,0,3828,27420,20,36221,11
18-19,8,6130,0,329,0,0,566,0,0,5252,43658,86,56029,15
19-20,4,671,0,157,7,2,67,0,0,501,10683,16,12108,6
20-21,0,1516,0,105,0,0,81,0,0,1662,86,0,3450,1
21-22,0,5735,0,110,0,0,365,0,0,4724,4189,45,15168,3
22-23,0,1537,0,79,0,0,103,0,0,1493,7130,1,10343,7
