hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,0,1506,0,39,0,0,118,0,0,1354,765,0,3782,1
1-2,0,0,0,5,0,0,0,0,0,5,0,0,10,0
2-3,0,0,0,0,0,0,0,0,1472,0,0,0,1472,0
3-4,0,167,0,26,0,0,19,0,0,184,398,151059,151853,83
4-5,0,3121,0,276,2,0,339,0,0,3832,33219,695109,735898,206
5-6,12,32852,0,1605,21,0,2353,0,1472,31174,83498,403,153390,40
6-7,20,36001,19,1489,51,59,2849,0,0,36602,324322,497816,899228,235
7-8,36,48975,0,3573,199,53,4036,0,0,54086,418738,65150,594846,182
8-9,0,10841,0,1323,2,8,654,0,0,7708,28239,50160,98935,25
9-10,0,28327,0,1223,123,7,1955,0,0,25080,145690,174501,376906,91
10-11,153,79389,8,4616,77,154,5203,0,0,59104,351222,499825,999751,846
11-12,25927,53551,9,221522,127904,25546,3840,0,0,157673,488683,93007,1197662,359
12-13,36,33375,0,24523,27,47,2275,0,0,25363,296881,11795,394322,107
13-14,12,27973,0,1314,14,30,1991,0,0,20779,375284,20631,448028,183
14-15,20,39989,43,1386,12,9,2970,0,0,37056,382498,1765,465748,127
15-16,4567,24039,96,1183,0,3,1575,0,0,22676,180040,932,235111,63
16-17,16,31026,2861,1574,23,10,1981,0,0,26112,251083,1542,316228,86
17-18,24,38344,1032,1912,14,46,2341,0,0,27588,163633,785,235719,63
18-19,32,25451,0,1524,12,15,1947,0,0,25542,376241,780,431544,118
19-20,12,10002,4,1651,4,31,746,0,0,8112,146106,762,167430,54
20-21,8,20565,0,1446,20,31,1762,0,0,19759,136795,88,180474,47
21-22,12,9447,0,592,9,36,748,0,0,10280,83346,439,104909,30
22-23,0,606,0,56,0,0,41,0,0,368,1589,0,2660,1
23-24,0,4426,0,91,0,0,245,0,0,1740,1029,0,7531,1
