hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,0,6337,0,23,0,0,173,0,0,2252,48,0,8833,13
2-3,1080,0,0,6,6,0,2,0,0,0,4,0,1098,0
3-4,0,0,0,0,32,0,0,0,0,0,0,15,47,0
4-5,0,41587,0,239,0,0,1274,0,0,19510,4369,291,67270,20
5-6,17,18684,0,538,3,3,1264,0,0,14859,430269,473,466110,159
6-7,530,57293,0,2776,98,9,4223,0,0,48733,1980184,2489,2096335,579
7-8,67113,398600,242,33737,22618,53541,26791,0,0,178595,1431893,3138,2216268,739
8-9,55540,184881,118,24286,15862,35479,12252,0,0,107416,2353102,2717,2791653,773
9-10,82659,161685,282,38904,24933,86443,15342,0,0,96052,1074296,2272,1582868,550
10-11,204345,308895,357,19781,10956,42876,19883,0,0,167806,1526506,3958,2305363,660
11-12,24,44141,0,2249,44,75,3622,0,0,29033,818940,2381,900509,296
12-13,16,20685,0,2059,39,46,5067,0,0,18131,1315637,2552,1364232,376
13-14,20,16847,0,1637,46,12,1636,0,0,16522,480430,891,518041,170
14-15,16,33268,0,865,40,3,1878,0,0,27051,1074604,819,1138544,314
15-16,39,21211,0,1322,87,7,1485,0,0,19346,1203706,1827,1249030,2019
16-17,8,25103,0,682,45,3,1756,0,0,19819,458336,1180,506932,138
17-18,12,8685,0,572,33,1,733,0,0,9977,396273,287,416573,137
18-19,20,13952,0,871,93,10,944,0,0,12734,1068350,1873,1098847,302
19-20,12,4782,0,1001,72,7,474,0,0,2825,100290,696,110159,34
20-21,16,15701,0,1113,44,109,951,0,0,8881,487833,1212,515860,141
21-22,0,1442,0,13,0,0,87,0,0,932,0,297,2771,1
22-23,0,1898,0,157,0,0,111,0,0,1279,86,0,3531,0
23-24,0,430,0,51,0,0,44,0,0,586,1857,0,2968,1
