hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
3-4,16,8252,0,955,38,16,520,0,0,9146,79494,3733,102170,163
4-5,0,1604,0,138,0,0,100,0,0,1164,115,876,3997,0
5-6,0,22444,14,169,0,0,262,0,0,3997,1405,45,28336,13
6-7,24,14648,22,1867,73,14,1061,0,0,14661,176095,1150,209615,49
7-8,20,17080,0,1271,61,12,1002,0,0,14415,81698,1715,117274,36
8-9,8,24964,0,1535,99,18,1490,0,0,18892,82071,1824,130901,33
9-10,4,12239,0,968,119,12,725,0,0,11499,94870,2485,122921,38
10-11,4,25717,0,1773,735,1760,1575,0,0,19834,168387,1717,221502,58
11-12,8,11810,0,669,21,0,782,0,0,9941,70603,1237,95071,29
12-13,4,14499,0,288,26,0,1061,0,0,10028,112213,3011,141130,37
13-14,16,11711,8,478,28,0,899,0,0,11094,43129,2488,69851,20
14-15,4,2963,0,840,6,6,234,0,0,6207,62241,2535,75036,28
15-16,0,2073,0,95,0,0,145,0,0,1658,1065,1599,6635,0
16-17,4,3445,4,428,21,0,350,0,0,3915,77757,1254,87178,22
17-18,28,6631,0,658,44,4,564,0,0,7623,62854,453,78859,24
18-19,0,2090,0,312,2,14,134,716,0,1564,3945,578,9355,3
19-20,0,1090,10020,221,27,2,73,0,0,1035,25039,887,38394,36
20-21,0,458,0,106,0,144,80,0,0,417,67557,1461,70223,18
21-22,4,1031,0,285,244,10,138,0,0,630,55590,127,58059,23
22-23,4,4655,0,219,7,0,342,0,0,3703,28485,252,37667,11
23-24,0,4279,0,175,0,0,330,0,0,4538,61,0,9383,4
