hour,bcmapp_record_count,bcmapp_processing_rate,crmapp_record_count,crmapp_processing_rate,omsapp_record_count,omsapp_processing_rate,armapp_record_count,armapp_processing_rate,cpq1app_record_count,cpq1app_processing_rate,cpq2app_record_count,cpq2app_processing_rate,cpq3app_record_count,cpq3app_processing_rate,cpq4app_record_count,cpq4app_processing_rate,odoapp_record_count,odoapp_processing_rate,asmapp_record_count,asmapp_processing_rate,tc_record_count,tc_processing_rate
0-1,6,286,64,2254,54,2163,17434,11932,30,1875,66,3712,6,337,34,1129,470,2794,18,658,0,0
1-2,9,322,96,2175,81,2192,13,1181,45,1666,105,2279,9,375,51,1967,129,1534,9,347,0,0
2-3,6,303,64,1911,54,2163,30,2500,30,2008,66,3483,6,333,34,1232,86,1579,6,354,0,0
3-4,9,333,115,2081,258,2003,209,3756,174,3150,304,4209,43,648,185,3690,1037,3192,27,620,0,0
4-5,221,1235,315,2420,999,3090,1366,5534,647,2659,1644,4248,315,2157,1289,4530,49406,7159,264,1491,0,0
5-6,90,775,84,1881,1338,3800,23790,6918,2419,5852,1924,4863,260,1969,1200,4768,39688,6091,602,2484,0,0
6-7,395,1359,884,2210,4655,3270,3820,6769,4392,5754,7545,6646,860,2532,4685,5666,161403,8545,915,2249,0,0
7-8,373,1196,787,2356,7295,3346,6046,6784,6676,6182,9658,7323,952,2900,6389,5875,180054,8900,1344,2732,0,0
8-9,606,2033,499,1723,3567,2944,4715,6010,3208,4922,5161,6579,509,2134,4861,5771,122035,8916,936,2348,0,0
9-10,329,1531,673,2248,3319,2780,8840,7899,2414,4319,5649,6075,814,3086,4934,6319,234564,8865,891,2118,0,0
10-11,778,1849,799,1947,4858,3067,9762,8142,4436,5963,8100,6955,968,3121,5825,5888,365629,9804,1791,3218,0,0
11-12,1928,2054,674,1965,5276,2862,13737,8933,4355,4558,7054,7103,1005,3152,6329,6169,365918,10237,1812,3212,0,0
12-13,1143,2246,639,1879,4900,3143,4453,6625,3818,5244,5963,5904,700,2099,5972,6059,137648,8644,885,1924,0,0
13-14,2450,2745,593,1940,5016,3530,4602,6260,4191,6300,7686,6984,693,2485,6541,6266,230960,8998,919,2010,0,0
14-15,557,1294,973,2328,8110,3953,3663,6142,7621,7620,13733,8544,1080,3196,7231,6142,153534,9409,750,2022,0,0
15-16,1478,2258,1407,2873,7560,3747,6718,6780,6380,7826,15807,8273,1851,3838,9541,7331,377047,10507,1791,3095,0,0
16-17,2115,3112,619,2120,4682,3371,14875,8115,3459,5593,5353,6517,817,2794,5154,6091,314164,9782,2019,3473,0,0
17-18,2581,2795,325,1537,5055,3614,6946,7485,3798,5930,6032,6549,522,2049,5770,6053,275556,8766,1293,2690,0,0
18-19,1907,2378,450,1949,5615,3658,3051,4929,5581,6970,8802,7618,823,2572,6990,6690,224423,8006,1089,2231,0,0
19-20,324,1447,254,2064,3051,3483,2798,6270,2624,5419,3888,5756,504,2632,3146,5889,159269,7764,549,2040,0,0
20-21,278,1614,407,1974,2670,3311,1924,5322,2161,5265,3760,5960,590,2773,4018,6489,196192,7294,586,1636,0,0
21-22,9,322,96,3006,81,2192,345,21562,45,1805,156,1748,9,392,51,2125,2415,2557,27,524,0,0
22-23,16,581,64,2909,54,1968,0,0,30,1770,79,2257,6,380,34,2125,86,1485,375,3223,0,0
23-24,6,316,64,2909,54,2163,0,0,30,1770,66,3483,6,401,34,2125,86,1606,6,354,0,0
