hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,0,0,0,19,0,0,2,0,0,56,28,0,105,0
1-2,0,100,0,0,0,0,7,0,0,16,0,0,123,0
2-3,0,0,0,0,0,0,2,0,0,0,12,0,14,0
3-4,0,0,0,0,0,0,0,0,0,0,58,17,75,0
4-5,4,2426,0,317,6,2,162,0,0,1727,10324,41,15009,4
5-6,0,6217,25,259,0,4,125,0,0,1586,15730,400,24346,9
6-7,0,13709,0,256,0,0,378,0,0,5567,6169,792,26871,6
7-8,4,23071,0,968,0,9,611,0,0,8316,21588,1518,56085,14
8-9,0,48721,17,440,60,0,796,0,0,12884,13884,831,77633,19
9-10,16,6170,0,475,18,0,512,0,0,6643,93741,2758,110333,28
10-11,8,18621,0,871,48,3,810,0,0,10439,75044,1756,107600,27
11-12,24,13431,0,1346,59,4,912,0,0,13229,167481,1555,198041,52
12-13,4,9915,0,896,71,5,766,0,0,9380,88303,1477,110817,33
13-14,28,25667,0,1943,92,6,1796,0,0,26821,287977,1833,346163,93
14-15,40,19028,0,2088,105,8,1621,0,0,20963,234645,940,279438,75
15-16,20,14738,0,671,26,0,955,0,0,14018,32068,424,62920,15
16-17,12,10246,0,700,28,0,818,0,0,10816,86512,348,109480,25
17-18,4,3163,0,379,20,2,265,0,0,3298,48125,401,55657,28
20-21,0,0,0,9,0,0,0,0,0,0,0,0,9,27
21-22,40,38927,0,3439,183,58,2705,0,0,33319,252433,1611,332715,237
23-24,0,0,0,0,0,0,0,0,0,0,4,0,4,0
