hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,0,198,0,22,0,0,32,0,0,296,4415,0,4963,1
1-2,0,523,0,67,0,0,54,0,0,178,2378,0,3200,0
2-3,0,576,0,67,0,0,58,0,0,558,2191,0,3450,0
3-4,0,809,0,875,0,31,59,0,0,381,2385,0,4540,0
4-5,0,575,0,194,0,0,51,0,0,152,1840,0,2812,0
5-6,0,727,0,91,0,0,52,0,0,782,114,0,1766,0
6-7,0,313,0,75,0,0,25,0,0,325,84,8,830,0
7-8,0,922,0,108,0,0,59,0,0,675,479,0,2243,0
8-9,4,4636,0,272,0,0,377,0,0,5431,25697,44,36461,9
9-10,0,632,0,99,0,0,50,0,0,590,112,0,1483,0
10-11,0,427,0,73,0,0,29,0,0,326,98,0,953,0
11-12,0,413,0,70,0,0,29,0,0,204,84,0,800,0
12-13,0,1153,0,632,0,12,89,0,0,1116,2902,0,5904,1
13-14,0,531,0,71,0,0,42,0,0,400,86,0,1130,0
14-15,0,573,0,78,0,0,47,0,0,178,85,0,961,0
15-16,0,763,0,100,0,0,55,0,0,883,113,0,1914,0
16-17,0,528,13,62,0,0,42,0,0,182,84,0,911,0
17-18,0,399,0,43,0,0,29,0,0,471,57,0,999,0
