hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,0,199,0,45,0,0,21,0,0,146,2789,555,3755,1
1-2,0,308,0,66,0,0,26,0,0,216,57,0,673,0
2-3,0,236,0,44,0,0,20,0,0,128,57,0,485,0
3-4,0,2050,0,144,0,0,165,0,0,1520,3696,0,7575,1
4-5,4,7593,0,516,506,2,532,0,0,6416,85692,127,101388,33
5-6,0,8242,59,24222,0,0,538,0,0,8057,6428,653,48199,19
6-7,610,88563,25,78299,686,3604,5966,0,0,67351,5797432,69653,6112189,1684
7-8,4432,42966,110,117685,1810,111,2889,0,0,94636,15960376,708941,16933956,5622
8-9,36,44558,0,2162,8,227,3242,0,0,39297,15505619,790,15595939,4329
9-10,36,65827,0,4896,122,265,4726,0,0,57293,23203075,485243,23821483,7936
10-11,51,46104,0,2831,13,45,3582,0,0,48154,26443846,2749,26547375,7370
11-12,48,52596,0,2869,6,19,4340,0,0,52618,27125537,3597,27241630,9077
12-13,24,26561,0,1816,3,282,2134,0,0,27526,14911400,2696,14972442,4156
13-14,16,26330,0,1065,16,32,5055,0,0,27831,11569053,2838,11632236,4872
14-15,74,33082,0,2573,36,71,2634,0,0,30780,13737418,1029,13807697,3832
15-16,51,13837,0,1262,88,47,1110,0,0,15826,10967685,1312,11001218,3664
16-17,70,27706,11,3380,62,217,1768,0,0,17800,4600139,764,4651917,1288
17-18,12,20894,0,1288,28,9,1315,0,0,16873,17723068,1881,17765368,5918
18-19,60,62593,0,3614,130,40,4205,0,0,56472,28857983,1336,28986433,8049
19-20,378,34709,9,2170,81,1099,2981,0,0,38362,24107460,1953,24189202,8058
20-21,20,36234,0,1658,53,276,2492,0,0,30677,12870784,398,12942592,3082
21-22,16,5445,0,515,30,9,518,0,0,3130,5336443,386,5346492,1782
22-23,0,4295,0,200,7,0,259,0,0,2511,4504,39,11815,3
23-24,0,101,0,19,0,0,12,0,0,72,319,261,784,0
