hour,bcmapp_record_count,bcmapp_processing_rate,crmapp_record_count,crmapp_processing_rate,omsapp_record_count,omsapp_processing_rate,armapp_record_count,armapp_processing_rate,cpq1app_record_count,cpq1app_processing_rate,cpq2app_record_count,cpq2app_processing_rate,cpq3app_record_count,cpq3app_processing_rate,cpq4app_record_count,cpq4app_processing_rate,odoapp_record_count,odoapp_processing_rate,asmapp_record_count,asmapp_processing_rate,tc_record_count,tc_processing_rate
0-1,6,185,64,2373,54,1650,587,2649,30,1375,66,2919,6,354,34,2006,763,3112,15,583,0,0
1-2,9,313,96,2747,81,2076,13,1625,45,1388,105,3127,9,307,51,1888,129,1736,9,311,0,0
2-3,6,303,64,2909,54,1938,0,0,30,1583,66,2600,6,184,34,1717,112,1847,18,667,0,0
3-4,6,265,68,2833,54,1800,130,8125,30,1515,66,2644,6,354,34,1888,13247,5006,54,587,0,0
4-5,203,775,378,1810,722,2441,775,4109,435,2899,1273,3791,268,1427,906,4834,56348,7041,384,1543,0,0
5-6,1205,2603,333,2803,2263,3129,109466,13455,2095,5088,3319,4807,245,1825,678,4184,78693,8563,667,2028,0,0
6-7,2676,3153,978,1713,9652,3304,144644,9351,8752,7552,12800,6893,1314,2297,12286,7207,414499,10951,2248,2881,0,0
7-8,1437,2752,817,1121,9814,3215,424082,17464,9205,7230,14987,6582,1709,2736,14365,7362,530642,10999,2906,2402,0,0
8-9,3014,3098,554,951,4279,2914,980205,19685,3115,5142,4882,4632,560,1782,4459,6193,211289,9432,1455,1669,0,0
9-10,1668,2498,1034,1271,6513,3240,375009,14290,5673,6442,10148,6882,1512,2862,8765,6615,418042,10509,2611,2957,0,0
10-11,5270,4137,963,1502,9606,3470,156137,9197,7662,6377,13054,6949,1207,2590,11100,7104,284781,10532,1678,2662,0,0
11-12,2406,3101,797,1532,5972,3346,134273,9378,6049,6203,7673,6180,834,2539,5368,6165,206541,9680,714,1647,0,0
12-13,1054,2635,1058,1967,5500,3210,15828,6909,4498,5303,9225,7504,1365,3368,7230,6375,367348,10736,1029,2237,0,0
13-14,3169,3513,879,1734,4620,2929,2792,5459,3112,5147,5803,6130,662,2217,4802,5639,207285,9047,960,1653,0,0
14-15,800,1938,667,1567,4526,3278,1780,4682,5541,6292,6287,6330,717,2148,4084,4791,126613,8654,17265,5791,0,0
15-16,2607,2414,519,1544,4103,2915,7631,7648,3744,5190,4266,4764,411,1396,4122,5198,185195,9602,1046,2095,0,0
16-17,796,1738,697,1283,7130,2985,15581,9056,7465,6937,9764,7391,959,2339,7391,6434,323440,9967,1062,2103,0,0
17-18,285,1041,569,1384,4653,3277,4615,6184,4615,6311,8487,7249,935,2289,6522,6007,306628,9538,1405,2058,0,0
18-19,55,692,411,1182,4397,2144,3061,6457,5074,5898,6664,6249,659,1827,4089,5061,151716,8631,771,1628,0,0
19-20,1150,2636,461,1169,3236,1879,2825,5253,2754,4711,5388,4979,645,1472,4929,6160,205792,10041,1170,1965,0,0
20-21,818,2079,308,1179,3101,3284,1352,4125,3117,5493,4346,5091,280,1603,3293,5075,239076,8429,804,1939,0,0
21-22,695,2491,100,1967,1312,2732,709,5419,1539,4827,1440,3371,135,762,1949,4518,28348,7907,90,753,0,0
22-23,19,440,112,2497,330,1715,25,2777,266,1744,327,1618,66,489,265,2317,215,1766,387,2970,0,0
23-24,9,203,104,1632,566,2584,0,0,707,3937,1119,3626,76,659,729,3723,529,2566,24,635,0,0
