hour,bcmapp_record_count,bcmapp_processing_rate,crmapp_record_count,crmapp_processing_rate,omsapp_record_count,omsapp_processing_rate,armapp_record_count,armapp_processing_rate,cpq1app_record_count,cpq1app_processing_rate,cpq2app_record_count,cpq2app_processing_rate,cpq3app_record_count,cpq3app_processing_rate,cpq4app_record_count,cpq4app_processing_rate,odoapp_record_count,odoapp_processing_rate,asmapp_record_count,asmapp_processing_rate,tc_record_count,tc_processing_rate
3-4,2239,1147,936,919,2900,1736,5052,3087,2222,2010,5095,2709,566,674,4081,2904,55528,3771,1185,854,0,0
4-5,514,303,434,260,946,652,1082,698,1937,1335,3203,1106,329,321,2237,1248,72754,4115,99,428,0,0
5-6,124,438,102,935,2015,331,2802,2559,697,2050,1266,1874,112,917,1112,2899,63165,1478,559,729,0,0
6-7,2274,1217,671,896,5810,1002,6936,3651,4465,3248,6688,3662,766,1031,4987,2729,196967,3302,774,1187,0,0
7-8,2184,2243,742,1224,5471,2354,10571,6081,4410,5334,7427,6038,769,1593,5779,4144,225571,7334,879,1664,0,0
8-9,4083,4065,623,1382,7014,2936,8749,6190,6771,6098,5908,6301,695,1956,4573,5408,278383,7319,1101,2015,0,0
9-10,553568,7164,93652,5878,179574,3798,8293,6556,68511,8225,89776,8488,8309,3821,68119,6792,421357,9348,2022,3110,0,0
10-11,1708791,9228,171626,11029,379238,4669,13276,7181,204574,10405,147886,9301,13606,5591,110487,7201,493356,6698,2326,3449,0,0
11-12,592926,7032,67319,6498,140473,4105,32557,7460,81440,8121,57144,8232,5878,4361,44062,7138,1706254,9486,1227,2961,0,0
12-13,2257,3745,451,2127,4669,3702,268325,11863,4116,5959,3993,5023,257,1328,4590,4908,92764,7436,972,2496,0,0
13-14,656,2135,347,2172,2348,2947,967683,13278,2189,4342,2367,5082,198,1271,2021,3721,48063,6092,894,1838,0,0
14-15,418445,7215,474,2120,1528,2639,128219,11066,1015,3446,1706,4622,119,968,1133,3883,79078,6578,586,1868,0,0
15-16,10278,5408,601,1795,9172,3791,6319,6750,12011,7656,11943,7652,731,2238,9619,5956,70329,6880,276,1261,0,0
16-17,443,1791,350,1970,3294,3222,3699824,23340,2709,5026,3845,5452,512,1733,3874,5418,224560,8134,684,1993,0,0
17-18,254,1523,462,2239,3324,3725,9628,7249,2572,5741,5082,6361,576,2660,5055,6504,345321,9223,1179,2393,0,0
18-19,1398,3079,650,2329,4353,3555,3905,6441,3332,6581,6883,6606,942,3116,5683,6137,235491,9472,11373,4931,0,0
19-20,1298,2616,351,1327,3812,3474,3007,5343,3067,5434,5824,6144,682,2909,4982,6600,210916,9525,912,2323,0,0
20-21,6765,3602,319,2260,1900,3192,3480,6872,1681,4840,3484,6543,420,2526,2273,5467,125498,7636,792,2161,0,0
21-22,32291,3070,187,2017,647,3521,1490,6679,373,5259,811,5132,137,2096,728,4852,55252,6934,725,2391,0,0
22-23,28,531,184,1826,365,3006,219,5739,260,2457,604,2777,121,1723,407,3572,20860,5822,121,1046,0,0
23-24,42,599,227,1828,689,2822,94,3084,494,3758,1346,4626,174,1636,863,4365,31481,6349,78,1013,0,0
