hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,0,102,0,19,0,0,16,0,0,59,0,0,196,0
1-2,0,0,0,0,0,0,0,0,1472,0,0,0,1472,0
2-3,54,20937,0,1979,0,26,1808,0,0,29853,0,0,54657,13
3-4,16,10676,0,607,0,0,983,0,0,12496,0,0,24778,7
4-5,48,32598,0,1978,0,8,2567,0,0,32400,0,0,69599,18
5-6,16,4768,2,1329,24,8,406,0,0,3252,0,0,9805,3
6-7,64,71790,1463,3525,236,88,5373,0,0,68574,0,0,151113,39
7-8,444,57404,532,6424,254,567,4919,0,0,63161,144973,5409,284087,292
8-9,48,58636,308,7409,314,1012,4324,0,0,52606,2602532,25287,2752476,761
9-10,40,61710,218,3648,80,38,4422,0,0,50990,2594288,762,2716196,901
10-11,164,192575,0,14482,194,1248,12809,0,0,163750,2185437,6436,2577095,711
11-12,88,70870,0,6234,244,516,5201,0,0,59817,1306446,6593,1456009,481
12-13,94,64617,0,5977,268,754,5078,0,0,61068,482207,6582,626645,168
13-14,2355,44289,32,3901,310,78,3692,0,0,49461,309727,3868,417713,135
14-15,78,27337,0,2044,58,6,2272,0,0,24731,268792,6749,332067,88
15-16,106,29476,0,3058,143,55,2449,0,0,30354,237363,3703,306707,99
16-17,32,19357,8,1949,34,32,1543,0,0,16692,171856,6305,217808,57
17-18,120,34528,0,2682,28,20,2750,0,0,31252,378942,3818,454140,148
18-19,95,65303,0,3898,156,82,5409,0,0,59796,511403,2372,648514,177
19-20,16,18716,0,2671,25,143,2246,0,0,15729,357815,1593,398954,130
20-21,24,11624,0,1294,95,11,931,0,0,10134,181484,602,206199,55
21-22,4,6020,0,197,7,0,422,0,0,6872,22523,168,36213,13
22-23,0,2012,0,51,0,0,87,0,0,488,75,1,2714,1
23-24,8,4050,0,264,14,0,360,0,0,5769,32011,44,42520,15
