hour,bcmapp_record_count,bcmapp_processing_rate,crmapp_record_count,crmapp_processing_rate,omsapp_record_count,omsapp_processing_rate,armapp_record_count,armapp_processing_rate,cpq1app_record_count,cpq1app_processing_rate,cpq2app_record_count,cpq2app_processing_rate,cpq3app_record_count,cpq3app_processing_rate,cpq4app_record_count,cpq4app_processing_rate,odoapp_record_count,odoapp_processing_rate,asmapp_record_count,asmapp_processing_rate,tc_record_count,tc_processing_rate
0-1,233,2996,39,2785,177,3633,14,1272,53,2843,196,4565,15,1666,132,6424,2741,5152,9,439,0,0
1-2,3,272,35,1168,54,3176,0,0,43,4300,183,10166,16,1333,42,3818,43,1587,3,272,0,0
3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,2483,6,666,0,0
5-6,12,294,165,1877,449,3113,23220,12978,628,6356,705,4301,32,1371,142,3541,172,1531,15,491,0,0
6-7,26,500,40,1292,1329,3003,512,3632,1679,5092,1825,3927,181,1565,1740,4395,5253,6991,356,1885,0,0
7-8,2346,4284,315,1337,5459,3536,462,3152,5701,6880,5269,6447,285,1475,4366,5649,57370,7022,303,1407,0,0
8-9,61,637,268,1489,2363,3112,1343,4897,3117,4917,4834,5866,428,1661,3379,5123,120112,7804,729,1970,0,0
9-10,18,886,104,1018,293,2127,465,4566,259,3461,633,4262,122,1838,470,3632,50180,5345,168,1061,0,0
10-11,513,2601,117,1411,1663,2968,1400,4373,1120,3670,1508,3718,152,1512,1752,5698,47950,5793,204,1269,0,0
11-12,6,323,100,739,1753,2716,0,0,2242,4975,2394,4452,176,1070,1748,4215,3321,5612,90,1000,0,0
12-13,609,2975,109,1744,1250,3392,104,1611,1343,4538,994,4788,47,1616,656,4260,25404,7267,315,1436,0,0
13-14,3,333,37,733,141,2529,0,0,139,4207,417,5174,31,855,92,3251,401,3306,21,435,0,0
14-15,6,337,72,1548,373,2727,0,0,362,4083,557,3918,44,1522,219,3570,646,3295,30,582,0,0
15-16,3,250,37,649,829,3216,0,0,1123,4719,835,5186,22,1133,663,5569,875,4140,30,531,0,0
16-17,52,1580,25,777,662,3180,25,1923,1552,4075,1014,3925,88,1567,925,3900,3227,6447,27,559,0,0
17-18,6,380,134,4322,218,3289,488,4429,128,4939,379,6785,87,3773,548,7362,44555,8039,81,998,0,0
18-19,0,0,7,538,6,600,102,1625,0,0,0,0,21,2333,64,5333,11098,4956,6,380,0,0
19-20,204,1278,37,1361,106,2602,323,4304,43,4300,195,5638,16,326,56,2386,3184,4230,299,3914,0,0
20-21,376400,8294,87,1240,1067,3264,228,3058,846,3620,1205,4454,96,1315,1116,3794,14722,4306,39,690,0,0
21-22,28857,8832,72,1920,86,2642,166,3021,58,3222,223,5791,40,1587,113,2182,19293,5657,21,709,0,0
22-23,3,300,35,1842,238,2928,0,0,43,3909,184,10222,16,1777,45040,15668,43,1404,6,375,0,0
23-24,3,333,35,2692,54,3176,0,0,43,3583,187,10388,16,1600,42,4200,43,1458,3,375,0,0
