hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,12,11655,0,468,20,2,897,0,0,11633,55261,57,80005,21
1-2,4,8951,0,247,7,0,853,0,0,15528,130428,217,156235,50
2-3,4,5776,0,276,7,0,473,0,0,7063,6525,0,20124,3
3-4,4,1666,0,147,7,0,124,0,0,2622,4615,44,9229,2
4-5,20,20205,0,1187,39,12,1608,0,0,21453,121402,691,166617,43
5-6,24,40421,0,1215,179,2,3417,0,0,41520,216632,1865,305275,99
6-7,9,23076,0,949,28,33,2179,0,0,23920,201262,2039,253495,68
7-8,339,42562,0,3885,48,279,3244,0,0,41730,320721,3310,416118,136
8-9,12,18581,0,1346,34,46,1352,0,0,17145,260847,1608,300971,81
9-10,24,30355,0,3122,25,127,2300,0,0,24664,192710,1646,254973,83
10-11,32,53432,0,3349,62,20,4624,0,0,54448,250972,1864,368803,99
11-12,8,36275,0,1732,22,26,2852,0,0,41861,103772,2230,188778,59
12-13,664,46207,12,1937,110,48,3902,0,0,56235,487584,2666,599365,163
13-14,20,16637,0,1237,34,9,1369,0,0,15422,173576,974,209278,67
14-15,24,30067,19,1418,148,19,2515,0,0,33483,259472,1341,328506,89
15-16,16,24939,0,1282,92,16,1959,0,0,25089,217133,1017,271543,88
16-17,16,21535,3968,1731,26,137,1986,0,0,24112,257164,1540,312215,85
17-18,12,10897,0,1748,18,11,949,0,0,7172,129407,735,150949,48
18-19,16,39740,0,3182,32,139,3428,0,0,37703,278183,1671,364094,98
19-20,8,27201,16,1918,48,22,2122,0,0,22590,142833,387,197145,63
20-21,12,31713,0,2299,33,109,3328,0,0,33592,215124,391,286601,76
21-22,20,46280,0,1973,67,8,3673,0,0,45962,278249,321,376553,123
22-23,16,23963,0,876,14,0,1747,0,0,25085,183837,1392,236930,63
23-24,0,322,0,9,0,0,34,0,0,228,24067,32,24692,20
