hour,bcmapp_record_count,bcmapp_processing_rate,crmapp_record_count,crmapp_processing_rate,omsapp_record_count,omsapp_processing_rate,armapp_record_count,armapp_processing_rate,cpq1app_record_count,cpq1app_processing_rate,cpq2app_record_count,cpq2app_processing_rate,cpq3app_record_count,cpq3app_processing_rate,cpq4app_record_count,cpq4app_processing_rate,odoapp_record_count,odoapp_processing_rate,asmapp_record_count,asmapp_processing_rate,tc_record_count,tc_processing_rate
0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725,3135,0,0,0,0
1-2,0,0,0,0,0,0,15,700,0,0,49,5444,12,1200,63,4500,3,428,0,0,0,0
2-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,444,0,0,0,0
5-6,0,0,0,0,0,0,23301,9401,0,0,0,0,0,0,0,0,50,919,0,0,0,0
6-7,13,457,0,0,0,0,133,2993,0,0,0,0,0,0,0,0,4,444,404,2951,0,0
7-8,3,250,35,1038,54,2571,0,0,43,2013,187,10388,16,1066,42,3230,59,1027,9,1000,0,0
8-9,24,608,156,1300,626,2707,94,2262,582,3943,1194,4753,136,1817,642,3174,17938,6617,69,658,0,0
9-10,211,1742,156,1348,495,3060,385,3750,282,3716,923,5182,131,1998,620,5107,29105,6890,192,1141,0,0
10-11,21,618,119,1506,414,2353,761,5807,337,4223,906,5740,119,2102,534,5169,17219,5912,78,867,0,0
11-12,3,333,42,1664,54,2842,355,2641,43,860,187,10388,16,2000,84,3659,94,1337,3,333,0,0
12-13,26,519,147,1582,623,3158,418,3541,554,3921,1168,5021,108,1585,531,5119,15608,5650,102,1010,0,0
13-14,6,750,76,2166,108,2206,841,5102,86,3847,371,8087,55,3222,108,3666,19515,4273,345,1950,0,0
14-15,21,311,112,1526,380,3174,57,2075,303,4075,756,6063,107,1598,504,3039,20577,5863,141,1406,0,0
15-16,24,454,153,1635,589,2881,47,2250,470,3707,1190,5579,118,1829,614,3918,14167,6015,108,1207,0,0
16-17,37,790,104,1436,505,2367,72,2335,421,2522,1048,4235,89,1804,528,2774,2964,4928,30,500,0,0
17-18,9,386,98,2681,81,3375,47,1897,58,5272,220,10000,19,1900,62,4769,570,3002,15,825,0,0
18-19,16,444,119,2047,421,4431,0,0,423,5678,894,8643,60,1185,337,5212,1093,4706,15,425,0,0
19-20,3,300,28,2333,0,0,47,2236,15,1666,33,2750,3,375,20,1818,47,1279,3,300,0,0
20-21,24,677,122,1832,450,2701,25,2777,380,4887,1095,5616,95,1965,461,4208,3107,4389,30,484,0,0
21-22,13,363,141,2112,207,2919,50,2494,129,4618,564,5626,87,2361,244,4883,14339,5898,48,833,0,0
22-23,21,777,130,1955,414,2535,47,1360,337,3686,911,5166,119,1838,537,5391,16980,6530,81,1031,0,0
23-24,8,400,60,1169,244,2553,25,714,178,2318,622,3292,72,1339,323,3522,2370,5734,21,435,0,0
