hour,bcmapp_record_count,bcmapp_processing_rate,crmapp_record_count,crmapp_processing_rate,omsapp_record_count,omsapp_processing_rate,armapp_record_count,armapp_processing_rate,cpq1app_record_count,cpq1app_processing_rate,cpq2app_record_count,cpq2app_processing_rate,cpq3app_record_count,cpq3app_processing_rate,cpq4app_record_count,cpq4app_processing_rate,odoapp_record_count,odoapp_processing_rate,asmapp_record_count,asmapp_processing_rate,tc_record_count,tc_processing_rate
0-1,9,243,113,2125,236,2367,0,0,252,3079,572,4219,48,942,243,3072,3992,4313,30,512,0,0
1-2,24,516,146,2087,395,3153,862,4890,280,4320,715,5215,91,1221,464,3664,31722,5874,105,1087,0,0
2-3,39,745,198,1425,662,2979,477,3781,479,4054,1313,4489,179,1621,853,4120,49891,7157,156,1028,0,0
3-4,208,2067,120,1339,441,2823,397,3558,238,3272,676,4882,94,1713,511,4775,30397,7851,186,1619,0,0
4-5,52,952,116,1507,2168,3611,188,3282,1957,5459,2362,5100,199,1966,1376,4870,41618,9548,153,1194,0,0
5-6,229,1141,239,1832,2896,3828,23661,5648,2666,7022,2754,5433,183,1894,1282,4552,40308,6418,475,1757,0,0
6-7,534,2589,176,1507,1722,3518,1743,5078,1280,5206,2117,4528,195,1657,1356,4995,72308,7703,324,1585,0,0
7-8,1111,3154,111,1910,1757,3508,1560,6635,1587,4957,1678,4886,212,1987,1341,5652,80557,7706,240,1430,0,0
8-9,188,1731,42,2246,202,3066,669,4980,37,2327,12,1333,13,1181,171,4700,7884,6289,36,803,0,0
9-10,56,639,248,1698,1019,2614,1484,4638,786,4251,2323,4964,287,1733,1300,5197,91437,7841,255,1194,0,0
10-11,455,2390,132,1080,6303,5256,1052,5256,13703,7563,3855,6464,188,1593,1353,4233,54245,6600,234,1344,0,0
11-12,9,450,16,1047,234,3295,640,3746,121,4549,167,6281,40,2698,275,5587,12054,6777,18,1083,0,0
12-13,36,760,163,1374,633,3490,816,4611,464,4405,1280,5720,168,1660,826,3964,30309,7159,153,1325,0,0
13-14,211,1750,152,1008,755,3007,518,3667,473,4228,1293,4671,168,1833,913,4936,54539,7200,204,1330,0,0
14-15,0,0,3,333,0,0,826,5246,0,0,0,0,8,1000,8,235,19036,4964,48,1133,0,0
15-16,21,552,126,1972,501,3574,1053,3905,415,5063,941,5734,119,1637,477,3744,34853,5757,126,822,0,0
16-17,466,1569,188,1256,1019,3457,691,4355,585,3878,1697,4311,209,2417,1413,4825,61668,6790,192,864,0,0
17-18,0,0,0,0,0,0,840,4262,0,0,0,0,0,0,0,0,7260,4836,27,586,0,0
18-19,18,590,55,1537,292,4294,999,5045,214,10190,631,11685,91,2110,409,6637,25008,6901,75,993,0,0
19-20,6436,4455,115,1548,461,2920,889,4719,259,4628,661,4930,85,1883,515,5142,37860,6665,45,677,0,0
20-21,3,333,42,2539,0,0,231,3310,24,3428,65,6500,25,1154,190,4613,992,2700,3,333,0,0
21-22,33,935,124,1414,633,2690,995,4398,440,4903,1215,6036,151,1446,649,4811,52899,6318,84,815,0,0
22-23,24,888,162,2037,507,3405,995,5257,371,4515,884,5538,115,1735,564,4830,37218,6205,87,1001,0,0
23-24,3,333,42,2262,195,2836,0,0,189,3752,344,5595,25,1669,187,3634,970,2253,3,333,0,0
