hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,19,1102,0,452,12,57,98,0,0,728,6918,60,9446,2
1-2,4,3485,0,174,0,0,256,0,0,3049,3373,0,10341,3
2-3,4,1945,0,148,0,0,168,0,0,2432,16196,4,20897,10
3-4,4,4379,0,239,0,0,325,0,0,4027,20454,4,29432,8
4-5,24,12038,0,840,34,2,902,0,0,10994,143046,492,168372,45
5-6,4,7076,0,2254,6,123,458,0,0,5453,30801,270,46445,13
6-7,125,46252,188,2194,30,50,2823,0,0,34411,216091,1434,303598,81
7-8,24,53068,35,1642,222,13,3406,0,0,27382,504191,1055,591038,211
8-9,24,29924,93,1554,55,16,2013,0,0,11609,123646,1126,170060,45
9-10,136099,533668,471,79318,36246,106029,32445,0,0,163451,202291,1831,1291849,437
10-11,74309,414859,550,53404,30378,61206,26698,0,0,111654,759901,2594,1535553,498
11-12,95998,387677,481,61884,25757,95656,21363,0,0,112602,1009037,2529,1812984,589
12-13,57,49470,0,4728,98,152,3262,0,0,20645,690607,4063,773082,210
13-14,2426,26971,30,2091,26,59,1738,0,0,10070,520833,1743,565987,17831
14-15,37,39771,0,2348,88,61,2754,0,0,17048,1186992,2051,1251150,27637
15-16,28,28490,0,2126,46,32,1732,0,0,11647,588672,2842,635615,196
16-17,28,26876,0,2827,71,65,1702,0,0,11762,193721,2823,239875,63
17-18,24,33932,0,2715,85,117,2279,0,0,12765,399809,1138,452864,250
18-19,28,27811,0,1502,60,20,1772,0,0,10141,561733,2323,605390,165
19-20,24,22433,0,1534,39,54,1445,0,0,9242,377527,1202,413500,135
20-21,20,31918,0,1431,53,21,2562,0,0,14749,465818,1519,518091,141
21-22,20,12748,0,999,25,32,1037,0,0,6231,158295,352,179739,376
22-23,0,2791,0,122,0,0,164,0,0,523,3686,1733,9019,1
23-24,8,3943,0,187,0,0,315,0,0,1992,54175,795,61415,19
