hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,0,330,0,195,0,0,40,0,0,685,20060,435,21745,15
1-2,0,3480,0,155,0,0,185,0,0,3260,145,0,7225,10
2-3,0,2005,0,185,0,0,110,0,0,1735,145,0,4180,0
3-4,0,5100,0,270,0,0,285,0,0,4280,8785,0,18720,10
4-5,20,29235,0,1095,240,0,1645,0,0,4685,73235,220,110375,45
5-6,2160,108375,0,2700,345,0,8245,0,0,133455,693485,4210,952975,305
6-7,2610,105455,0,8130,440,85,8245,0,0,124715,449260,3940,702880,185
7-8,10420,181325,0,5625,730,10,12975,0,0,207855,1168515,11400,1598855,510
8-9,1815,38670,0,2460,245,0,3065,0,0,53410,584280,7580,691525,180
9-10,1195,122855,0,6025,290,9915,7970,0,0,100780,519750,5070,773850,245
10-11,105,268895,0,10675,545,440,18125,0,0,256405,1573890,8640,2137720,580
11-12,6500,212695,0,7810,3805,215,15465,0,0,201285,1155970,10050,1613795,525
12-13,2035,193520,0,6665,130,2565,15280,0,0,228660,1134725,3565,1587145,425
13-14,4450,240315,0,6955,195,65,13895,0,0,211320,617260,4890,1099345,355
14-15,60,67315,0,2700,100,15,5075,0,0,74590,549730,10170,709755,185
15-16,0,66465,0,825,0,0,3850,0,0,43260,31025,4020,149445,40
16-17,20,26150,0,2195,35,30,1565,0,0,29860,181760,5980,247595,85
17-18,0,10385,0,530,0,0,680,0,0,11870,4820,680,28965,0
18-19,17405,19130,55,1380,0,100,1090,0,0,13630,79760,10170,142720,40
19-20,5,22580,0,705,60,0,1565,0,0,20295,97340,3465,146015,40
20-21,20,17325,0,2035,35,5,1660,0,0,10565,484490,5305,521440,165
21-22,1295,5580,275,320,35,28415,240,0,0,4240,43235,2275,85910,40
22-23,0,4160,0,110,0,0,235,0,0,2120,2715,10,9350,0
