hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,0,232,0,38,0,0,24,0,0,128,588,1435,2445,0
1-2,0,264,0,53,0,0,24,0,0,112,28,0,481,0
2-3,0,0,0,5,0,0,0,0,0,0,0,0,5,0
3-4,0,0,0,46,0,0,1,0,0,56,28,0,131,0
4-5,0,2109,0,42,0,0,101,0,0,994,28,0,3274,1
5-6,0,243,1,25,0,0,30,0,0,234,28,0,561,0
6-7,0,102,0,21,0,12830,10,0,0,72,326,46,13407,10
7-8,0,231,0,50,0,0,20,0,0,128,57,0,486,0
8-9,0,0,0,5,0,0,0,0,0,0,0,0,5,0
9-10,0,299,0,71,0,0,24,0,0,198,84,0,676,0
10-11,0,238,0,49,0,0,20,0,0,130,56,0,493,0
11-12,0,206,0,53,0,0,16,0,0,116,57,0,448,0
12-13,0,200,0,45,0,0,16,0,0,130,85,0,476,0
13-14,0,1218,0,123,0,0,71,0,0,653,453,0,2518,0
14-15,0,2323,0,128,0,0,112,0,0,1472,479,0,4514,0
15-16,0,199,0,49,0,0,16,0,0,150,56,69,539,0
16-17,0,237,0,42,0,0,20,0,0,133,86,0,518,0
17-18,0,380,0,82,0,0,32,0,0,187,57,0,738,0
18-19,0,202,0,44,0,0,16,0,0,150,57,0,469,0
19-20,0,262,0,48,0,0,24,0,0,114,56,0,504,0
20-21,0,266,0,50,0,0,24,0,0,114,85,0,539,0
21-22,0,271,0,46,0,0,24,0,0,114,29,0,484,0
22-23,0,142,0,50,0,0,13,0,0,112,58,0,375,0
23-24,0,369,0,58,0,0,31,0,0,128,56,0,642,0
