hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,0,472,0,61,0,0,38,0,0,348,113,0,1032,0
1-2,0,464,0,61,0,0,34,0,0,333,113,0,1005,0
2-3,0,547,0,66,0,0,43,0,0,368,456,0,1480,0
3-4,0,292,0,170,0,56585,25,0,0,143,84,0,57299,47
4-5,1302,27318,391,1336,42,24657,1972,0,0,21210,133176,167,211571,78
5-6,16,37013,0,1545,40,25,3494,0,0,46158,328386,1992,418669,137
6-7,24,29187,0,2123,77,621,2398,0,0,26953,248773,1251,311407,84
7-8,32,66674,0,3533,38,38,5406,0,0,64820,366839,1942,509322,167
8-9,44,71883,0,3406,94,165,5487,0,0,68250,354628,1603,505560,136
9-10,28,46734,84,2378,150,215,6215,0,0,47487,413903,1421,518615,169
10-11,52,100837,0,8617,110,426,14927,0,0,97868,832566,2926,1058329,292
11-12,24,67735,0,3425,65,36,5546,0,0,67396,960784,2652,1107663,366
12-13,63,63559,0,3062,125,238,14595,0,0,66743,884460,3249,1036094,284
13-14,36,32112,0,4099,77,592,2331,0,0,28761,324215,1412,393635,128
14-15,35,32125,42,2211,107,166,2561,0,0,34515,229012,1118,301892,80
15-16,808,34258,14,1756,92,46,2709,0,0,33911,243549,680,317823,103
16-17,20,51867,112,3438,39,72,8726,0,0,39492,380914,1640,486320,131
17-18,12,38296,0,1616,32,42,3103,0,0,36882,87589,286,167858,54
18-19,28,42423,0,2543,77,108,3832,0,0,42808,333204,1115,426138,115
19-20,8,23837,0,864,14,0,2108,0,0,23761,198290,571,249453,80
20-21,8,26831,0,1460,33,20,2071,0,0,28118,225328,1049,284918,76
21-22,16,18977,25,2696,37,107,1388,0,0,17462,185540,384,226632,72
22-23,8,4599,0,418,14,0,549,0,0,6818,139761,579,152746,41
23-24,0,0,0,23,0,0,16,0,0,64,6181,15,6299,5
