hour,bcmapp_record_count,bcmapp_processing_rate,crmapp_record_count,crmapp_processing_rate,omsapp_record_count,omsapp_processing_rate,armapp_record_count,armapp_processing_rate,cpq1app_record_count,cpq1app_processing_rate,cpq2app_record_count,cpq2app_processing_rate,cpq3app_record_count,cpq3app_processing_rate,cpq4app_record_count,cpq4app_processing_rate,odoapp_record_count,odoapp_processing_rate,asmapp_record_count,asmapp_processing_rate,tc_record_count,tc_processing_rate
0-1,9,200,97,2496,104,2098,0,0,116,2983,446,5595,22,769,82,2268,171,1595,21,403,0,0
1-2,12,286,132,2048,154,2268,0,0,116,2825,442,5041,38,944,124,3272,172,1344,12,302,0,0
2-3,9,262,97,2500,104,2098,13,1181,73,1175,252,5048,22,655,82,2648,129,1242,9,313,0,0
3-4,9,201,97,1828,104,2168,0,0,30,1363,66,3000,21,671,82,2994,129,1589,9,333,0,0
4-5,9,322,110,1671,127,1705,0,0,144,3008,593,6332,32,629,104,2486,129,1455,9,322,0,0
5-6,15,307,161,1695,204,2063,23220,15084,159,3024,631,6511,53,924,166,2217,647,2699,33,760,0,0
6-7,28,358,174,1840,1446,2494,104,2388,2161,4802,2115,4777,166,909,2107,5134,3601,3492,332,1308,0,0
7-8,15,285,213,1512,2225,2818,18,900,2863,4684,2918,4645,298,1164,3411,4472,8377,4629,195,1084,0,0
8-9,15,289,197,1552,1924,2859,256,4117,2112,5386,2286,5297,140,896,1510,4384,2983,3065,165,1044,0,0
9-10,35,408,281,2375,2930,2615,494,3680,3820,4692,4248,4895,425,1608,4196,4832,51984,5937,186,1023,0,0
10-11,38,400,347,1514,4111,2773,540,5685,4766,5095,5609,5778,363,1480,4851,4696,18601,6135,147,793,0,0
11-12,282,1292,423,1525,4696,2947,1102,4947,5366,5491,6253,5700,547,1952,5563,5628,146344,7540,408,1378,0,0
12-13,55,749,217,1665,3179,2964,1859,6324,3496,4978,4103,5327,220,1231,3598,4905,102359,7755,372,1117,0,0
13-14,52,737,220,1704,2439,3006,198,2549,2622,5067,3882,4940,296,1430,3776,5092,28649,5800,117,721,0,0
14-15,29,400,269,2129,747,2315,1867,6918,383,2987,982,3502,161,1362,713,3960,98522,5919,510,1864,0,0
15-16,9,315,97,2697,214,1890,2030,5837,143,2166,265,2789,28,445,143,2570,9517,3960,99,1034,0,0
16-17,201,1586,125,2471,822,2608,58,4461,650,4062,1040,3952,99,1026,619,4258,3527,2250,45,464,0,0
17-18,29,446,199,2170,502,2120,219,4571,470,2130,1049,3052,150,1184,596,3475,19680,4358,84,699,0,0
18-19,9,264,72,1933,119,1700,0,0,68,971,230,2563,49,1146,201,3401,30901,5862,228,1651,0,0
19-20,546,2688,108,1610,1841,3153,532,5537,2462,6273,1572,4643,145,888,1417,4542,18143,5001,39,538,0,0
20-21,13,569,34,1534,660,2536,0,0,799,3692,397,2487,52,506,224,3245,174,1982,366,3194,0,0
21-22,9,315,104,1873,470,2234,68,6800,420,2944,511,4180,64,745,333,2567,215,1481,15,322,0,0
22-23,9,300,97,2553,104,1960,0,0,73,2358,252,4833,22,721,82,2482,129,1393,12,320,0,0
23-24,9,290,97,2505,224,2160,0,0,185,3489,504,3940,31,806,175,4098,172,1409,12,307,0,0
