hour,bcmapp_record_count,bcmapp_processing_rate,crmapp_record_count,crmapp_processing_rate,omsapp_record_count,omsapp_processing_rate,armapp_record_count,armapp_processing_rate,cpq1app_record_count,cpq1app_processing_rate,cpq2app_record_count,cpq2app_processing_rate,cpq3app_record_count,cpq3app_processing_rate,cpq4app_record_count,cpq4app_processing_rate,odoapp_record_count,odoapp_processing_rate,asmapp_record_count,asmapp_processing_rate,tc_record_count,tc_processing_rate
0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,3412,3,333,0,0
1-2,0,0,0,0,0,0,13,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-6,117,1963,0,0,0,0,25533,5967,0,0,0,0,0,0,0,0,0,0,296,1472,0,0
6-7,0,0,0,0,0,0,9793,7518,0,0,0,0,0,0,0,0,0,0,12,366,0,0
7-8,0,0,0,0,0,0,8057,7413,0,0,0,0,0,0,0,0,0,0,6,354,0,0
8-9,6,337,70,1520,371,3108,13729,8657,463,7955,532,4348,49,1078,419,5652,131,1454,21,577,0,0
9-10,3,300,47,1999,419,2887,13815,7273,359,4424,444,2786,21,1133,241,2921,60,1448,57,425,0,0
10-11,3,333,30,2500,191,2603,9855,7332,238,3848,277,2706,36,1211,227,3980,837,3564,42,346,0,0
11-12,0,0,0,0,390,2854,7205,6827,419,3716,652,3602,101,1357,911,4436,93,1348,6,333,0,0
12-13,0,0,0,0,332,2495,5140,5847,280,4635,433,3397,18,543,472,3916,12,1500,0,0,0,0
13-14,3,300,35,1541,215,1990,2179,5780,200,3322,327,2604,18,1000,178,3657,215,2419,21,436,0,0
14-15,0,0,0,0,570,2441,2648,5181,829,3589,1263,3979,75,863,950,4131,641,1928,18,499,0,0
15-16,6,333,61,1675,359,2063,3236,5316,319,2620,681,3306,70,934,476,2892,626,2078,21,541,0,0
16-17,158,1992,84,1686,958,2556,3078,6210,1030,4520,1757,4242,90,1064,989,3390,20320,3868,15,264,0,0
17-18,573,3843,0,0,384,2671,3771,5982,44,1026,133,1866,0,0,249,3419,29532,5181,414,1478,0,0
18-19,126,2490,108,1335,925,2474,3534,4927,1081,3250,1437,2990,190,1449,1757,4680,40068,5256,475,1622,0,0
19-20,311,2616,112,1213,971,2211,4953,5389,1191,3621,1813,4475,93,937,1290,3631,17250,6138,536,1358,0,0
20-21,3,300,0,0,181,2808,776,2917,307,5223,346,2894,36,831,468,3203,1259,3953,15,533,0,0
21-22,76326,9280,78,1414,0,0,447,3815,45,3750,12,1200,24,2400,60,5454,61084,5695,875,1710,0,0
22-23,383,2999,4,444,229,2991,19476,8183,18,591,21,728,0,0,141,4149,13060,6358,75,1080,0,0
23-24,0,0,0,0,0,0,25812,8731,0,0,0,0,0,0,0,0,0,0,0,0,0,0
