hour,bcmapp_record_count,bcmapp_processing_rate,crmapp_record_count,crmapp_processing_rate,omsapp_record_count,omsapp_processing_rate,armapp_record_count,armapp_processing_rate,cpq1app_record_count,cpq1app_processing_rate,cpq2app_record_count,cpq2app_processing_rate,cpq3app_record_count,cpq3app_processing_rate,cpq4app_record_count,cpq4app_processing_rate,odoapp_record_count,odoapp_processing_rate,asmapp_record_count,asmapp_processing_rate,tc_record_count,tc_processing_rate
0-1,0,0,0,0,0,0,18,2000,0,0,0,0,0,0,0,0,75,3379,6,750,0,0
1-2,0,0,0,0,0,0,3148,7452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-3,0,0,0,0,0,0,18768,8832,0,0,0,0,0,0,0,0,179,998,0,0,0,0
3-4,0,0,0,0,0,0,21164,8594,0,0,0,0,0,0,0,0,7,473,0,0,0,0
4-5,12,448,160,2044,302,1960,5887,6882,262,3587,583,4426,60,1016,194,2842,172,2154,18,658,0,0
5-6,45,532,242,2371,1262,2456,23440,7308,1686,6347,1608,4687,169,1608,1480,4653,2675,4192,410,1535,0,0
6-7,854,1438,463,1924,1681,2424,3581,6377,1024,3262,3172,5009,405,1732,2199,4937,105586,7071,247,1238,0,0
7-8,478,2091,450,2159,2875,3295,7273,7215,4162,5789,3397,4998,505,1760,3547,6189,98007,7476,288,1458,0,0
8-9,402,1910,337,1623,2976,3201,5308,5644,3756,6075,4763,6078,492,1884,3996,5714,65071,6612,147,753,0,0
9-10,133,980,464,2153,2015,2929,9329,6436,1962,5138,2762,4390,385,1834,2584,4795,87187,7757,315,1352,0,0
10-11,430,1756,318,1563,3233,2860,8059,6032,3393,6291,4077,5139,593,1901,4001,5002,108841,7301,318,1325,0,0
11-12,137,1315,285,1338,2097,2577,7705,7409,1942,4635,2943,3617,395,1612,3224,4932,62552,6963,327,1267,0,0
12-13,24,819,128,1427,1393,2671,7239,7617,1436,4093,1366,3860,200,1383,2474,4702,68157,6576,219,1188,0,0
13-14,83,1163,303,1790,1624,2897,8252,7194,1283,4024,2920,4516,388,1473,2467,5509,72380,7161,294,1387,0,0
14-15,224,4096,27,1012,643,2945,5458,6246,552,5512,368,2620,101,2148,350,3334,34289,6511,270,1758,0,0
15-16,31,541,137,1664,516,2374,7842,7351,451,3181,1157,4666,96,957,488,3513,3197,4928,63,593,0,0
16-17,34,663,280,2093,560,2335,6435,6753,387,2779,1276,4084,211,1677,854,3597,48158,6444,264,2157,0,0
17-18,388,1721,165,1164,943,3288,2236,4027,592,3053,1470,3810,245,1521,1436,4446,48281,6917,219,1620,0,0
18-19,122,3083,4,444,260,2208,2473,4300,914,3591,167,969,34,659,381,4028,2345,4198,211,3531,0,0
19-20,5973,5105,54,1437,176,2535,3886,2758,145,3096,230,4276,40,1611,343,3943,25481,5352,27,808,0,0
20-21,0,0,13,661,38,583,3649,3291,0,0,15,833,48,2833,85,2679,22925,4127,180,1781,0,0
21-22,224,3849,140,6666,140,3158,711,4691,10,1000,15,1500,0,0,92,4062,23377,6207,231,1507,0,0
22-23,20,763,101,1456,311,2940,390,5157,230,4610,535,3690,116,1480,373,5742,22273,5908,113,1074,0,0
23-24,0,0,0,0,1449,4051,0,0,1647,6497,1175,4717,57,636,893,3440,90,1526,91,1465,0,0
