hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,0,231,0,37,3241,0,34,0,0,125,1364,11,5043,5
1-2,0,480,0,74,0,0,53,0,0,257,3509,0,4373,1
2-3,0,1853,0,16,0,0,85,0,0,546,123,0,2623,1
3-4,0,487,0,68,0,0,38,0,0,268,87,15,963,0
4-5,4,6760,0,362,7,0,426,0,0,4655,27643,205,40062,9
5-6,16,12680,12,850,40,6,925,0,0,9163,62750,127,86569,36
6-7,36,33473,32,1846,113,12,2891,0,0,28741,490918,1436,559498,179
7-8,44,37245,0,3579,140,312,3231,0,0,32625,748935,4224,830335,232
8-9,44,24305,0,3174,114,37,2238,0,0,21718,513429,2428,567487,154
9-10,32,29803,0,2581,116,55,2346,0,0,21913,447458,2692,506996,165
10-11,28,36673,0,3518,115,249,2892,0,0,33464,386726,4865,468530,192
11-12,72,10102,15,1303,32,104,868,0,0,7607,123915,830,144848,46
12-13,28,26992,0,2910,73,31,2253,0,0,22350,582968,5070,642675,175
13-14,109,32368,22,3482,82,886,2269,0,0,27576,223750,2266,292810,93
14-15,20,24213,0,1707,42,3,1857,0,0,23036,212495,1459,264832,71
15-16,16,18928,0,2874,60,487,1471,0,0,17385,376801,2794,420816,136
16-17,16,22581,0,2280,105,292,1691,0,0,21708,345574,2366,396613,94
17-18,8,6559,0,1139,13,20,577,0,0,5748,119189,1821,135074,42
18-19,138,13650,0,3179,30,180,1039,0,0,11921,144776,1185,176098,40
19-20,14,5507,3584,347,7,0,467,0,0,7225,27834,553,45538,14
20-21,4,4476,0,859,20,11,295,0,0,3474,32961,566,42666,12
21-22,4,3326,0,265,25,0,282,0,0,3269,29441,191,36803,11
22-23,0,660,0,71,0,0,39,0,0,827,87,0,1684,2
23-24,0,202,0,38,0,0,16,0,0,127,57,0,440,0
