hour,bcmapp_record_count,bcmapp_processing_rate,crmapp_record_count,crmapp_processing_rate,omsapp_record_count,omsapp_processing_rate,armapp_record_count,armapp_processing_rate,cpq1app_record_count,cpq1app_processing_rate,cpq2app_record_count,cpq2app_processing_rate,cpq3app_record_count,cpq3app_processing_rate,cpq4app_record_count,cpq4app_processing_rate,odoapp_record_count,odoapp_processing_rate,asmapp_record_count,asmapp_processing_rate,tc_record_count,tc_processing_rate
0-1,0,0,0,0,0,0,14648,8894,0,0,0,0,0,0,0,0,0,0,3,300,0,0
1-2,3,300,51,1032,0,0,135,2002,0,0,0,0,33,846,42,1714,856,5860,27,1500,0,0
2-3,5,555,14,722,199,2926,368,3592,152,2700,461,5069,45,1680,238,5499,2147,6467,9,514,0,0
3-4,6,294,64,2830,114,2155,422,3183,201,3978,90,1431,6,354,57,1686,86,1712,6,380,0,0
4-5,228,922,419,1941,1207,2658,2502,5363,907,3245,2247,3965,497,2142,1822,4662,87382,7403,357,1428,0,0
5-6,25,403,135,2171,734,2725,29262,7553,688,4703,1242,5664,88,1151,823,3919,529,2306,334,2020,0,0
6-7,185,972,676,2077,3167,3051,7125,6260,2598,4997,5088,6107,1019,2801,4338,5743,213603,8560,1167,2367,0,0
7-8,163,1986,152,1113,1153,2299,2120,7119,1077,3976,2141,4221,304,2138,1493,3448,45251,6241,921,2545,0,0
8-9,913294,8067,130015,9008,623065,4002,5365,5359,442971,8970,379168,6633,11144,6000,223019,5946,10073,4211,219,1841,0,0
9-10,2851,2550,1191,1607,3764,2681,19971,6896,3332,4753,3879,4494,656,2238,4302,5519,240166,7470,915,2148,0,0
10-11,1214,2529,709,1774,4702,3502,17054,7020,6052,5634,6368,4849,934,2642,5896,6448,387119,8018,1113,2382,0,0
11-12,1050,2718,373,1735,3149,3059,16976,6453,3396,5093,4313,4139,752,2803,5181,6173,265761,7585,1095,2704,0,0
12-13,1078,3242,340,1784,3458,2892,14931,7150,3074,5164,4451,5347,576,1721,4077,5610,149804,7825,729,2297,0,0
13-14,560,2695,232,1530,1488,2643,7283,6755,1208,3991,2619,4324,426,1925,2853,5514,73757,7426,966,2679,0,0
14-15,628,3486,159,1366,1241,3277,6744,5752,831,4734,1381,4565,112,1241,1050,4657,115658,7108,684,2031,0,0
15-16,596,2552,140,943,1216,2990,4551,5867,668,3164,1335,3584,170,1790,1377,5647,89340,8540,519,1759,0,0
16-17,148,6727,6,600,281,2174,11706,7257,247,2784,37,1019,36,2083,314,3361,0,0,216,2313,0,0
17-18,299,3118,31,979,545,2679,4118,6203,403,3012,788,3276,91,1053,637,4180,0,0,297,1625,0,0
18-19,168,1480,212,1458,1734,2973,2474,4787,2013,5110,2632,5271,412,1575,2379,4731,0,0,414,1783,0,0
19-20,364,2067,162,1998,1108,2794,2919,5299,696,3811,1030,3847,112,1419,1035,4239,0,0,75,1114,0,0
20-21,175,1996,119,1245,462,1845,315,5710,327,2859,690,3510,131,1781,612,4489,165081,6071,75,1073,0,0
21-22,10,1000,0,0,0,0,901,12590,0,0,0,0,0,0,0,0,14334,4464,410,3723,0,0
22-23,0,0,0,0,0,0,199,2106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-24,0,0,0,0,0,0,4138,5984,0,0,0,0,0,0,0,0,0,0,0,0,0,0
