hour,bcmapp_record_count,bcmapp_processing_rate,crmapp_record_count,crmapp_processing_rate,omsapp_record_count,omsapp_processing_rate,armapp_record_count,armapp_processing_rate,cpq1app_record_count,cpq1app_processing_rate,cpq2app_record_count,cpq2app_processing_rate,cpq3app_record_count,cpq3app_processing_rate,cpq4app_record_count,cpq4app_processing_rate,odoapp_record_count,odoapp_processing_rate,asmapp_record_count,asmapp_processing_rate,tc_record_count,tc_processing_rate
0-1,197,1129,241,1838,774,3111,169,2897,557,3704,1525,4440,160,1403,874,4771,22067,6201,99,804,0,0
1-2,94260,75,27978,425,477,1735,13,1300,289,2558,702,3048,55,988,281,1918,1517,5034,15,450,0,0
2-3,51,317,368,696,1195,1457,94,789,1010,1865,2569,3101,289,1013,1291,2031,297,1150,135,462,0,0
3-4,31,352,185,901,628,2502,72,1234,484,2507,1513,3003,166,1242,736,2918,55294,4957,114,589,0,0
4-5,98,513,739,1471,2276,2698,582,1612,2102,3497,4938,5220,638,1998,2797,4374,85154,6627,771,1290,0,0
5-6,1201,1105,662,1355,6598,3337,30234,5716,7224,5678,9693,6652,883,2481,5650,5155,117114,7939,1122,1681,0,0
6-7,4,222,3,44,70,3500,4418,3758,93,2715,53,2004,0,0,49,4083,124062,6453,40,1164,0,0
7-8,0,0,0,0,0,0,8992,6403,0,0,0,0,0,0,0,0,305967,8817,0,0,0,0
8-9,0,0,0,0,0,0,8946,6723,0,0,0,0,0,0,0,0,324529,8588,0,0,0,0
9-10,0,0,0,0,0,0,6542,5843,0,0,0,0,0,0,0,0,128475,8118,0,0,0,0
10-11,0,0,0,0,0,0,15902,6819,0,0,0,0,0,0,0,0,194724,8906,0,0,0,0
11-12,0,0,0,0,0,0,7759,6801,0,0,0,0,0,0,0,0,260833,8180,0,0,0,0
12-13,0,0,0,0,0,0,4321,5538,0,0,0,0,0,0,0,0,223695,7929,0,0,0,0
13-14,0,0,0,0,0,0,2408,6067,0,0,0,0,0,0,0,0,83104,6324,0,0,0,0
14-15,0,0,0,0,0,0,1472,4474,0,0,0,0,0,0,0,0,108513,7904,0,0,0,0
15-16,0,0,0,0,0,0,1763,3777,0,0,0,0,0,0,0,0,127414,8485,0,0,0,0
16-17,0,0,0,0,0,0,2793,4902,0,0,0,0,0,0,0,0,117656,8668,0,0,0,0
17-18,0,0,5080,1881,27170,2831,1980,4687,24811,5864,38561,6599,5593,2740,32352,5985,143048,8302,3784,1890,0,0
18-19,307946,1846,17818,2242,78402,3040,367,2653,67821,6083,77989,6029,4523,1942,58664,6000,109784,8144,3618,1574,0,0
19-20,0,0,0,0,0,0,1503,4448,0,0,0,0,0,0,0,0,88345,7519,0,0,0,0
20-21,0,0,0,0,0,0,1602,5791,0,0,0,0,0,0,0,0,122501,8475,0,0,0,0
21-22,7812,5067,2495,1826,22725,3933,864,5627,21686,6483,33114,7544,3287,3555,24291,5935,6959,4530,3217,1625,0,0
22-23,10,1111,18,390,287,2414,25,2272,169,2278,300,3122,48,1395,177,2571,2294,4461,411,1559,0,0
23-24,3,272,37,1017,147,2128,0,0,113,4650,230,7888,15,1000,79,3590,145,1674,3,333,0,0
