hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,0,0,0,0,0,0,2,0,0,0,1018,30,1050,0
1-2,0,0,0,0,0,0,0,0,0,0,158,0,158,0
3-4,0,0,0,0,0,0,0,0,0,0,0,36,36,0
4-5,0,38812,0,234,0,0,1171,0,0,13836,1064,663,55780,13
5-6,0,5464,0,228,0,0,412,0,0,4243,724,479,11550,2
6-7,1990,46473,0,3180,52,33,5133,0,0,37878,154807,2718,252264,66
7-8,16,42580,0,1270,6,48,2956,0,0,37515,15259,3271,102921,32
8-9,12,17714,0,1064,2352,7,1171,0,0,13643,776740,1796,814499,223
9-10,4,23825,0,395,2328,0,1142,0,0,13935,8600,1196,51425,16
10-11,9777,63078,0,3183,29,7937,4164,0,0,49566,418960,3305,559999,152
11-12,20,38323,0,2032,35,58,2734,0,0,36801,84049,3255,167307,53
12-13,498,66426,0,2863,47,8935,4029,0,0,60411,1383310,2737,1529256,422
13-14,414,24140,0,650,0,1255,1562,0,0,20068,46363,1913,96365,29
14-15,26,16906,0,994,63,46,10506,0,0,16017,674580,3062,722200,197
15-16,8,14250,0,1603,27,60,1155,0,0,9065,56908,1801,84877,25
16-17,11395,13426,0,1123,13,888,1007,0,0,12457,465984,1709,508002,139
17-18,20,12064,0,993,40,10,922,0,0,12460,13297,1548,41354,13
18-19,20,17271,0,1340,37,25,1462,0,0,16843,479361,2525,518884,141
19-20,576,8185,52,791,344,13,688,0,0,9594,97128,1056,118427,37
20-21,0,2314,0,304,0,6,172,0,0,2126,360543,231,365696,202
21-22,0,1078,0,700,0,3,3340,0,0,2748,38934,489,47292,20
22-23,0,0,0,22,0,0,1,0,0,63,20901,6,20993,34
23-24,0,99,0,0,0,0,7,0,0,16,0,227,349,0
