hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,0,0,0,0,0,0,2,0,0,0,1532,4,1538,2
1-2,4,1707,0,118,7,0,134,0,0,2739,50390,164,55263,18
2-3,12,4977,0,461,20,8,486,0,0,6522,67073,55,79614,25
3-4,8,2561,0,303,20,2,327,0,0,2881,58038,264,64404,21
4-5,4,18490,0,426,21,0,1130,0,0,11707,45862,571,78211,20
5-6,12,12934,4,1951,27,62,913,0,0,11265,82396,393,109957,36
6-7,24,43787,0,2728,38,29,3099,0,0,37757,441012,3701,532175,175
7-8,24,25496,0,1180,61,29,2244,0,0,27594,317173,1870,375671,122
8-9,24,67559,0,1895,108,85,4381,0,0,53818,323960,2103,453933,122
9-10,55,38579,0,2700,47,38,3151,0,0,40364,360629,1711,447274,111
10-11,1283,40743,0,3381,66,66,3375,0,0,38703,874250,3630,965497,230
11-12,24,31621,0,3629,76,86,2211,0,0,26506,481118,3641,548912,179
12-13,16,34928,0,2379,103,620,2669,0,0,30970,341991,13592,427268,114
13-14,36,42080,8,3469,130,196,3641,0,0,40667,504048,1580,595855,196
14-15,111,23246,0,2383,45,54,2090,0,0,25439,403803,1541,458712,125
15-16,16,7362,0,509,14,0,645,0,0,8824,275871,721,293962,95
16-17,16,21612,0,877,36,27,1315,0,0,14895,72589,277,111644,30
17-18,4,15052,0,272,9,0,783,0,0,11654,38184,94,66052,20
18-19,8,9340,0,495,34,0,685,0,0,8229,48370,450,67611,26
19-20,14,8989,3244,279,7,0,439,0,0,5724,47842,459,66997,23
20-21,12,7403,0,550,13,2,551,0,0,8209,126516,390,143646,39
21-22,0,136,0,29,0,0,12,0,0,53,70,200,500,0
22-23,8,4875,0,344,14,0,370,0,0,3799,48039,157,57606,18
23-24,8,4290,0,274,14,0,399,0,0,6389,48396,46,59816,19
