hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,0,0,0,0,0,0,2,0,0,0,355,0,357,0
4-5,0,0,0,0,0,0,1,0,0,0,0,0,1,0
5-6,0,0,0,0,0,0,2,0,0,0,0,0,2,0
6-7,0,733,0,31,0,0,93,0,0,671,75321,62,76911,31
7-8,0,3915,0,154,0,0,231,0,0,3087,2083,429,9899,3
8-9,0,3254,0,110,6,8,213,0,0,1879,18254,294,24018,8
9-10,0,8819,0,52,0,0,533,0,0,8109,2844,7,20364,6
10-11,4,8489,0,219,7,0,725,0,0,11178,217844,4566,243032,66
11-12,0,6897,0,104,0,0,464,0,0,6490,1803,1425,17183,5
12-13,4,6747,0,119,0,0,499,0,0,7814,3239,8933,27355,7
13-14,4,5579,0,84,14,0,529,0,0,7241,101040,108,114599,94
14-15,0,0,0,0,0,0,2,0,0,0,865,0,867,0
15-16,0,0,0,0,0,0,0,0,0,0,8,0,8,0
16-17,0,3496,0,24,0,0,89,0,0,1887,0,4,5500,2
17-18,0,87,0,4,0,0,3,0,0,138,0,0,232,0
18-19,0,1403,0,20,0,0,26,0,0,1024,0,0,2473,2
19-20,4,10438,0,159,7,0,490,0,0,5732,93439,2,110271,42
20-21,0,7382,0,44,0,0,202,0,0,2769,0,0,10397,16
21-22,0,5983,0,14,0,0,115,0,0,2683,0,0,8795,2
22-23,4,13280,0,220,7,0,425,0,0,6615,87896,2,108449,42
23-24,0,12198,0,75,0,0,308,0,0,4179,28,0,16788,6
