hour,bcmapp_record_count,bcmapp_processing_rate,crmapp_record_count,crmapp_processing_rate,omsapp_record_count,omsapp_processing_rate,armapp_record_count,armapp_processing_rate,cpq1app_record_count,cpq1app_processing_rate,cpq2app_record_count,cpq2app_processing_rate,cpq3app_record_count,cpq3app_processing_rate,cpq4app_record_count,cpq4app_processing_rate,odoapp_record_count,odoapp_processing_rate,asmapp_record_count,asmapp_processing_rate,tc_record_count,tc_processing_rate
0-1,215,1244,293,1924,1008,2599,1020,3385,760,2578,1950,3074,256,1656,1298,4212,50914,7292,327,1281,0,0
1-2,6,232,70,1576,226,2144,916,3579,119,2280,415,4168,52,1267,221,3478,4263,4051,27,425,0,0
2-3,30,520,219,2336,704,2306,13,1625,660,3780,1385,4948,102,860,761,4939,6599,3880,57,479,0,0
3-4,42,475,258,1384,804,2341,94,2276,447,2745,1732,4672,239,1399,934,4466,31519,5854,162,905,0,0
4-5,390,1603,543,1926,3395,2792,910,4759,3714,5306,5735,6385,578,2184,4063,5434,110065,7731,624,1579,0,0
5-6,414,1391,703,1934,3565,2935,26706,6478,3217,4862,5545,5989,608,1669,4138,5284,101807,6945,495,1185,0,0
6-7,742,1672,267,1715,3098,2797,1192,4662,3488,5703,4476,5869,457,1950,3327,5920,60770,6123,779,2096,0,0
7-8,3662,3026,1134,2001,10608,3205,5544,5156,10919,7477,11885,7560,1443,2765,14117,7055,253238,8695,1554,2366,0,0
8-9,1579,2383,799,1708,6282,3144,5983,4987,5883,5903,9169,6853,1169,2640,8185,6331,356513,8599,909,1624,0,0
9-10,656,2010,804,2089,6844,3043,6440,5418,6447,6087,8711,5816,868,2623,8816,6168,303474,8761,1548,2285,0,0
10-11,1155,1839,1013,1987,7519,3460,10812,6350,8027,6592,12841,7874,1538,3001,12423,6835,361966,9577,1356,2235,0,0
11-12,1840,2436,614,1809,3806,2522,4859,6087,2960,4306,6630,6253,785,2058,4993,5553,164634,8559,16896,6133,0,0
12-13,849,1808,714,1738,5910,3432,10313,7838,5558,6024,8082,6811,955,2480,7160,6129,400937,8600,10220,4871,0,0
13-14,2957,2998,835,1835,6524,3441,4772,6376,5334,5515,8465,7141,1087,2306,6859,6416,249144,9106,4080,3264,0,0
14-15,1598,1861,950,2084,7658,3306,4487,5999,7553,6383,12274,8579,1335,3372,7939,6766,349436,8812,7527,4794,0,0
15-16,43203,3630,545,1634,6506,3192,11002,8065,6397,5873,7772,6431,641,1940,7810,6787,261346,8506,1348,2339,0,0
16-17,7026,2373,552,1828,5359,2823,3721,6446,6145,5808,6877,6015,618,2062,8207,5948,97795,8043,837,1694,0,0
17-18,459700,7011,21818,3618,2081,2320,2994,5988,2020,4979,3865,6031,326,1641,3076,5007,100711,7333,687,1591,0,0
18-19,21041,2871,13252,2813,6327,3386,2738,5340,7804,7123,9494,7052,875,2394,6389,6166,91435,7594,9497,3981,0,0
19-20,350,1407,726,2390,7777,3349,4595,6734,7835,6357,10678,6498,909,2727,9556,6552,238481,8306,1437,2262,0,0
20-21,2579,2945,719,2018,7992,3416,6388,6271,6798,6746,9279,6748,846,2338,9405,6846,361768,10021,1557,2382,0,0
21-22,1245,2813,430,1736,2109,2545,2681,5508,2046,4142,3719,5224,480,1874,3560,5942,117696,8635,597,1388,0,0
22-23,349,1320,294,1822,1107,2504,1066,4490,918,3936,1957,4537,337,2099,1831,5170,78176,7139,366,1290,0,0
23-24,22,461,145,2203,459,2371,0,0,410,4576,908,5953,64,1708,175,3830,172,1458,378,2044,0,0
