hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,0,1248,0,79,0,0,62,0,0,926,471,2,2788,1
1-2,0,0,0,0,0,0,0,0,1472,0,0,0,1472,0
2-3,0,1564,0,149,0,0,94,0,0,1857,519,2,4185,0
3-4,0,7384,0,238,7,0,493,0,0,6185,6054,0,20361,4
4-5,12,11172,0,335,0,0,768,0,0,8509,47989,62,68847,18
5-6,8,39972,0,1392,68,34,2708,0,0,35342,185178,832,265534,85
6-7,17,26116,0,1703,42,4,1905,0,0,22198,277531,1357,330873,90
7-8,1678,57443,17,2575,107,59,4348,0,0,53842,357257,943,478269,156
8-9,28,28551,225,2290,92,56,2166,0,0,21383,242894,1547,299232,79
9-10,99,35961,33,1411,67,4,2338,0,0,30598,207483,1138,279132,90
10-11,92,94693,53,5861,139,144,6613,0,0,80592,431775,1261,621223,169
11-12,71,44789,19,2305,104,343,3454,0,0,40655,258318,1562,351620,114
12-13,252,48751,110,4792,89,686,3494,0,0,43936,350336,1014,453460,123
13-14,28,52644,44,2360,71,27,3464,0,0,41841,332183,1215,433877,141
14-15,48,64503,28,3341,92,25,4207,0,0,45792,760315,2619,880970,241
15-16,28,52350,0,1365,20,8,3257,0,0,45204,167141,721,270094,88
16-17,666,56272,62,2562,350,936,3825,0,0,53971,345124,1118,464886,125
17-18,230,37757,30,1867,54,2,2925,0,0,40573,195917,878,280233,90
18-19,1490,32598,16,1831,814,19462,2846,0,0,34816,224167,384,318424,96
19-20,312,18750,194,336,54,0,1127,0,0,14995,35042,572,71382,21
20-21,8,29712,177,571,713,194,2285,0,0,33351,155440,166,222617,61
21-22,357,8007,101,162,16,0,461,0,0,4470,29087,380,43041,12
22-23,4,4909,0,171,7,0,240,0,0,3859,3842,253,13285,4
23-24,0,3343,0,131,0,0,256,0,0,3092,31,0,6853,2
