hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
3-4,26546,3958,692,580,7,390875,338,0,0,4184,35521,67,462768,767
4-5,4,7879,0,279,0,1326,465,0,0,5708,7362,3,23026,7
5-6,8,9521,10,635,21,14,722,0,0,7553,75428,213,94125,30
6-7,52,44759,16,1977,59,16,3337,0,0,46592,328947,1258,427013,115
7-8,36,20610,0,1656,36,20,1810,0,0,23589,266544,1533,315834,101
8-9,16,17974,0,2022,77,53,1436,0,0,15394,170733,698,208403,55
9-10,16,13287,0,1152,19,29,1180,0,0,12600,186731,1153,216167,70
10-11,12,14010,0,1679,43,22,1254,0,0,12157,228932,2185,260294,69
11-12,24,24155,4,4671,159,405,1563,0,0,18637,181801,1676,233095,74
12-13,20,21573,0,1564,332,8,1667,0,0,17031,201261,1148,244604,64
13-14,36,21909,18,2116,57,55,3143,0,0,20960,266183,606,315083,102
14-15,14,31395,0,2113,19,7961,2096,0,0,23302,283607,1214,351721,98
15-16,20,25992,0,1283,80,95,1764,0,0,23239,214840,1660,268973,86
16-17,1802858,10951,2764,33744,612,15711,914,0,0,10649,111270,475,1989948,803
17-18,15179,14514,0,969,371,3,1117,0,0,15626,266062,754,314595,90
18-19,24,21229,0,2689,134,29,1645,0,0,17621,263268,1736,308375,63
19-20,65,14052,0,2252,65,74,1120,0,0,11865,189504,798,219795,70
20-21,4,2515,0,396,6,3,206,0,0,1488,21428,376,26422,6
21-22,0,302,0,59,0,0,32,0,0,216,864,301,1774,0
22-23,0,467,0,76,0,0,40,0,0,271,114,0,968,0
23-24,0,200,0,38,16184,0,38,0,0,156,56,0,16672,13
