hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,0,202,0,41,0,0,18,0,0,147,9614,9,10031,4
1-2,0,206,0,43,0,0,16,0,0,146,58,0,469,0
2-3,0,302,0,65,0,0,24,0,0,221,85,0,697,0
3-4,4,4381,0,223,7,0,290,0,0,3132,1083995,41,1092073,363
4-5,4,8733,0,467,6,2,584,0,0,6658,28827,48,45329,11
5-6,4,22887,0,687,7,8,1447,0,0,21217,3569934,108,3616299,2006
6-7,66,93722,0,4708,183,598,7719,0,0,105272,11539254,2137,11753659,4876
7-8,85,64927,0,5172,85,255,4670,0,0,48995,15761933,1196,15887318,8795
8-9,72,91106,0,6219,204,1076,6412,0,0,81536,9618703,2130,9807458,2051
9-10,82255,1287697,0,891745,6304,34128,80658,0,0,518435,10160302,688,13062212,4218
10-11,128876,1485090,49,1149031,4305,46470,88111,0,0,582771,20165031,2928,23652662,6405
11-12,82,21677,0,2428,133,97,4763,0,0,23870,1441139,569,1494758,819
12-13,95,56144,84,5606,738,978,5949,0,0,51625,12068967,1686,12191872,3382
13-14,681,23094,39,1691,87,38,1640,0,0,22019,1812692,512,1862493,445
14-15,28,33423,0,1411,48,201,2494,0,0,32256,17151696,511,17222068,4781
15-16,16,26211,0,2333,43,325,1812,0,0,19217,4170201,1834,4221992,1404
16-17,8,24921,0,5420,17,165,1576,0,0,17984,1416517,1302,1467910,404
17-18,64,20158,0,2254,61,32,1467,0,0,18611,4230790,1188,4274625,1422
18-19,769,22678,0,1408,630,10,2125,0,0,23759,10249989,1307,10302675,2859
19-20,1333545,21418,43799,33644,66835,21,1258,0,0,24629,324177,1275,1850601,759
20-21,8,81385,0,2359,6,224,6111,0,0,86947,8541566,1081,8719687,2419
21-22,0,7149,0,251,13,0,485,0,0,6985,5855393,604,5870880,2443
22-23,0,641,0,51,0,0,31,0,0,426,28,0,1177,1
