hour,bcmapp_record_count,bcmapp_processing_rate,crmapp_record_count,crmapp_processing_rate,omsapp_record_count,omsapp_processing_rate,armapp_record_count,armapp_processing_rate,cpq1app_record_count,cpq1app_processing_rate,cpq2app_record_count,cpq2app_processing_rate,cpq3app_record_count,cpq3app_processing_rate,cpq4app_record_count,cpq4app_processing_rate,odoapp_record_count,odoapp_processing_rate,asmapp_record_count,asmapp_processing_rate,tc_record_count,tc_processing_rate
0-1,0,0,0,0,0,0,7,875,0,0,0,0,0,0,0,0,801,7136,6,666,0,0
2-3,0,0,0,0,0,0,30,3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-6,33,710,49,942,0,0,23587,12920,0,0,23,586,34,900,39,3000,619,2185,308,1659,0,0
6-7,4,400,0,0,385,3441,231,4681,276,7386,400,6125,15,783,298,7320,606,1783,3,375,0,0
7-8,0,0,0,0,0,0,0,0,0,0,3,333,0,0,0,0,0,0,0,0,0,0
8-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,300,0,0,0,0
9-10,3,333,32,1156,0,0,0,0,24,1633,65,3611,19,633,39,1257,524,2561,6,354,0,0
10-11,0,0,0,0,160,3809,0,0,85,6538,147,4666,0,0,52,4333,90,1023,0,0,0,0
11-12,0,0,0,0,0,0,430,4384,0,0,7,416,0,0,0,0,0,0,0,0,0,0
12-13,0,0,0,0,0,0,25,1666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-14,0,0,0,0,0,0,216,6449,0,0,8,888,0,0,0,0,0,0,0,0,0,0
14-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,333,0,0
15-16,0,0,0,0,0,0,25,625,0,0,4,400,0,0,0,0,179,1596,0,0,0,0
16-17,3,250,32,2461,27,2076,0,0,15,1875,33,3000,3,250,17,2125,43,1558,3,375,0,0
17-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,1355,0,0,0,0
18-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,1468,0,0,0,0
19-20,3,333,36,1521,0,0,0,0,15,1875,33,2062,16,816,17,1888,222,1726,3,375,0,0
20-21,187,1880,97,1100,868,2277,120,3039,669,3960,1115,3561,219,1069,1295,4767,27872,5929,102,790,0,0
21-22,269,2556,37,1398,692,3738,219,4138,755,6324,490,3550,155,2108,763,5694,26505,7024,66,1193,0,0
22-23,3,375,48,2250,54,3000,0,0,43,5375,183,4295,21,1270,42,2164,43,1458,3,333,0,0
