hour,bcmapp_record_count,bcmapp_processing_rate,crmapp_record_count,crmapp_processing_rate,omsapp_record_count,omsapp_processing_rate,armapp_record_count,armapp_processing_rate,cpq1app_record_count,cpq1app_processing_rate,cpq2app_record_count,cpq2app_processing_rate,cpq3app_record_count,cpq3app_processing_rate,cpq4app_record_count,cpq4app_processing_rate,odoapp_record_count,odoapp_processing_rate,asmapp_record_count,asmapp_processing_rate,tc_record_count,tc_processing_rate
0-1,95135,323,28039,52,150,1226,167,3070,0,0,0,0,0,0,41,4555,4011,6825,3,333,0,0
1-2,24,171,294,847,1282,1538,573,1590,1060,1937,1714,2098,149,601,1041,1722,2250,1810,201,629,0,0
2-3,226,591,247,868,1018,2173,307,2203,868,2700,2047,3618,326,1070,1637,3097,49490,6394,321,1052,0,0
3-4,27,425,182,1031,544,2534,715,3503,400,3085,1028,3840,123,1162,591,3004,33024,6112,177,926,0,0
4-5,220,740,416,1788,1337,2441,220,2770,1094,3652,2042,3887,160,961,1048,3492,7113,4103,147,786,0,0
5-6,287,849,467,1512,1930,2692,41100,6901,1704,3642,3961,5162,533,1558,2964,4023,117390,7069,901,1605,0,0
6-7,529,1076,788,1985,6916,3529,15713,5108,5821,4894,7383,5218,602,1747,4125,4246,166550,8127,1458,2399,0,0
7-8,860,1132,725,1599,3332,3049,7142,5517,4081,3774,5731,5138,662,1770,4006,3967,145030,7246,1050,2176,0,0
8-9,428,1597,273,1438,1179,2960,4190,5779,912,4161,1903,4637,176,1632,797,3436,16945,4604,717,1848,0,0
9-10,513,1475,850,2202,4694,3430,3231,5100,4835,4782,7286,5925,627,1668,4434,4690,128055,8245,903,1760,0,0
10-11,617,1789,587,2047,4699,3371,5430,6498,5366,5357,6977,6521,722,1786,5556,4886,148592,8970,1053,2004,0,0
11-12,467,1593,495,1475,4206,3173,6417,6403,3687,4781,6386,6127,653,1786,6225,5973,271201,9405,1086,2099,0,0
12-13,314,1134,634,2043,3836,3311,5734,6087,3872,5303,6575,7196,635,2091,3891,5603,187031,9920,1101,1995,0,0
13-14,124,701,678,1862,3872,3258,3075,5912,3360,5026,6119,5781,644,1688,3985,5395,138036,8158,834,1664,0,0
14-15,2418,3322,673,2090,6423,3755,1999,5624,7167,6559,8579,6877,825,2112,5830,5919,168305,8080,737,1680,0,0
15-16,2726,3408,415,1869,4354,3458,5905,6235,4313,5886,6504,6089,858,2220,5950,6146,284985,9862,1143,2001,0,0
16-17,508,1663,254,1676,3561,3423,2940,5058,3429,5072,5259,5199,763,2172,4298,5141,140978,8603,717,1736,0,0
17-18,1515,2767,692,1858,2798,3246,1715,3545,1624,5137,3986,5326,674,2140,3811,5447,181159,9257,1002,2250,0,0
18-19,1064,2265,454,1726,2922,3020,1475,4030,2232,5403,4934,5944,553,1963,3590,5802,54690,7329,258,928,0,0
19-20,445,2061,263,1396,1916,2962,1604,5795,1792,4834,2881,5396,274,1471,1859,4482,73554,8175,697,2000,0,0
20-21,230,1647,165,2108,652,2183,2458,5146,517,3141,1180,3412,164,1400,948,4678,56386,7956,321,1364,0,0
21-22,23,467,106,2013,81,1784,622,19437,45,1368,103,2586,9,283,51,1648,133,1543,390,1764,0,0
22-23,6,230,62,2320,54,1938,0,0,30,1515,66,3300,6,316,34,1669,86,1754,12,372,0,0
23-24,6,316,62,2320,54,1275,0,0,30,1107,66,3483,6,316,34,1048,94,1389,12,344,0,0
