hour,bcmapp_record_count,bcmapp_processing_rate,crmapp_record_count,crmapp_processing_rate,omsapp_record_count,omsapp_processing_rate,armapp_record_count,armapp_processing_rate,cpq1app_record_count,cpq1app_processing_rate,cpq2app_record_count,cpq2app_processing_rate,cpq3app_record_count,cpq3app_processing_rate,cpq4app_record_count,cpq4app_processing_rate,odoapp_record_count,odoapp_processing_rate,asmapp_record_count,asmapp_processing_rate,tc_record_count,tc_processing_rate
0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,337,0,0
1-2,0,0,0,0,0,0,13,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-4,3,333,48,2051,627,4860,174,3292,1211,10622,199,9950,25,784,109,2944,43,1833,9,1000,0,0
4-5,9,436,146,2151,1951,4324,5079,6614,3391,7351,883,4740,68,1452,456,4098,22696,5357,51,583,0,0
5-6,22,356,61,1095,2980,4157,27877,7342,5530,7500,1432,4715,117,1513,1501,4461,40354,5901,523,2055,0,0
6-7,56,516,440,2314,5381,3650,9311,7219,8204,7280,4869,5259,467,1627,3318,4867,31028,5831,276,1319,0,0
7-8,112,744,513,1566,4839,3462,7292,6270,6605,6428,5513,5884,814,2149,5081,5567,202455,9085,717,2010,0,0
8-9,1649,3539,254,1714,2015,3260,3846,5809,1445,4235,2170,4425,198,1510,1659,4605,60867,7855,447,1834,0,0
9-10,254,1476,568,1684,5536,3564,9107,7158,7548,5937,5482,5672,791,2185,4401,5134,153111,8566,696,1920,0,0
10-11,1102,2130,489,1792,4965,3474,12278,6806,4146,5283,6460,6174,660,2119,5773,5619,334593,9059,813,2569,0,0
11-12,547,1637,401,1465,5412,3406,8789,6667,7351,6443,6476,6733,688,1810,5823,5945,92662,7886,671,2274,0,0
12-13,246,1012,495,1557,6143,3709,9607,7491,9911,7641,4431,6167,595,1747,3989,5048,129812,7795,420,1648,0,0
13-14,17,916,111,1026,2017,3031,5613,6547,2433,4543,2139,5123,265,2156,1736,4507,57595,6831,183,1132,0,0
14-15,3,300,54,1419,831,2225,5805,6764,902,3312,1003,3783,41,701,691,2846,10538,4215,72,776,0,0
15-16,231,1293,60,551,1788,3102,6254,6347,1612,4609,1306,4708,67,1061,1651,4489,9454,4838,114,1235,0,0
16-17,115,1628,62,1008,1996,2546,5811,6325,2224,4540,2262,4477,169,1225,1730,4068,41183,6470,323,1664,0,0
17-18,351,1251,153,899,1601,2704,4812,5393,1274,3561,2088,4136,448,2009,3103,5000,142023,7851,683,2516,0,0
18-19,122,1793,132,1075,230,2531,4545,5515,189,3885,342,3199,118,2524,307,4678,80048,6973,426,1896,0,0
19-20,17,724,46,1253,238,2026,809,3959,216,2493,390,2882,43,1606,266,2989,3031,4927,36,930,0,0
20-21,37,804,82,723,812,2486,1499,4397,776,3779,1164,3524,82,1616,762,3381,12526,4999,225,1237,0,0
21-22,10,909,0,0,64,2011,872,5888,103,2550,93,1785,18,680,212,3310,0,0,372,2380,0,0
22-23,6,600,68,2104,50,2631,187,3489,46,4600,180,10000,19,1900,39,3545,86,3116,6,600,0,0
