hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,4,1651,0,255,6,5,93,0,0,1078,6556,119,9767,3
1-2,0,1083,0,80,7,0,121,0,0,2084,3310,0,6685,1
2-3,4,4213,0,167,0,0,317,0,0,4345,24435,4,33485,12
3-4,0,817,0,117,14,0,88,0,0,1977,2736,0,5749,1
4-5,4,3400,0,147,0,0,272,0,0,3322,21197,6,28348,10
5-6,0,440,0,88,7,0,26,0,0,518,3061,0,4140,2
6-7,0,1132,0,67,0,0,79,0,0,917,578,7,2780,0
7-8,8,2711,0,201,7,0,310,0,0,3697,40686,7,47627,14
8-9,0,4519,0,129,0,0,340,0,0,2207,58087,334,65616,17
9-10,4,3399,0,298,13,2,257,0,0,3712,15266,9,22960,7
10-11,0,870,0,44,0,0,148,0,0,769,59911,593,62335,16
11-12,0,1651,0,105,14,0,156,0,0,2288,11852,290,16356,3
12-13,4,2888,0,203,0,0,228,0,0,2512,20477,25,26337,13
13-14,0,596,0,55,0,0,42,0,0,463,58,0,1214,0
14-15,4,5478,0,291,14,0,502,0,0,5644,28239,4,40176,9
15-16,0,0,0,2,0,0,0,0,0,14,156,0,172,0
16-17,0,219,0,26,0,0,13,0,0,456,105,2,821,0
17-18,0,438,0,47,0,0,26,0,0,553,58,2,1124,0
18-19,0,440,0,56,0,0,26,0,0,493,62,30,1107,0
19-20,0,222,0,26,0,0,13,0,0,251,29,0,541,0
20-21,0,516,4,53,0,0,34,0,0,516,57,4,1184,0
21-22,0,512,0,52,0,0,34,0,0,480,58,6,1142,0
22-23,0,576,0,52,0,0,42,0,0,478,58,4,1210,0
