hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
4-5,0,745,0,52,0,0,40,0,0,721,595,0,2153,2
5-6,0,1178,0,97,0,0,82,0,0,1071,143,0,2571,0
6-7,4,6466,0,244,14,0,520,0,0,7222,20965,0,35435,8
7-8,0,375,0,67,0,0,92,0,0,469,6531,0,7534,5
8-9,0,537,0,33,0,0,38,0,0,238,56,0,902,0
9-10,0,0,0,1,0,0,9,0,0,166,0,0,176,0
10-11,0,612,0,0,0,0,46,0,0,147,0,0,805,0
11-12,4,0,0,40,0,0,22,0,0,21,818,0,905,0
12-13,4,2438,0,240,6,10,259,0,0,1274,41401,0,45632,24
13-14,0,0,0,1,0,0,4,0,0,6,0,0,11,0
15-16,0,0,0,0,0,0,3,0,0,0,0,0,3,0
16-17,0,6069,0,538,39,0,417,0,0,4858,5809,0,17730,6
17-18,0,907,0,31,7,0,93,0,0,1620,1831,0,4489,3
18-19,4,354,0,61,0,0,119,0,0,653,92993,0,94184,38
19-20,0,0,0,0,0,0,62,0,0,0,28090,0,28152,15
20-21,4,888,0,254,6,10,68,0,0,418,2177,0,3825,3
