hour,bcmapp_record_count,bcmapp_processing_rate,crmapp_record_count,crmapp_processing_rate,omsapp_record_count,omsapp_processing_rate,armapp_record_count,armapp_processing_rate,cpq1app_record_count,cpq1app_processing_rate,cpq2app_record_count,cpq2app_processing_rate,cpq3app_record_count,cpq3app_processing_rate,cpq4app_record_count,cpq4app_processing_rate,odoapp_record_count,odoapp_processing_rate,asmapp_record_count,asmapp_processing_rate,tc_record_count,tc_processing_rate
0-1,151,1693,68,1991,161,2373,6,750,39,1388,78,2944,6,337,119,2570,3895,5035,15,587,0,0
1-2,95031,131,28282,911,978,2131,0,0,742,4696,1748,6272,146,1029,871,4092,5987,5424,69,959,0,0
2-3,298,533,603,888,0,0,0,0,1830,2358,2051,2698,0,0,0,0,0,0,0,0,0,0
3-4,50,497,202,972,2994,1960,1453,2172,550,2971,3966,3305,788,1124,4184,3277,168196,6783,453,670,0,0
4-5,169,831,358,1363,1206,2122,2436,3178,891,3042,1815,3225,280,1382,1265,3215,248908,9466,462,1132,0,0
5-6,1296,1496,343,1413,1491,2941,2714,3620,822,3141,2091,3955,346,1684,1705,4552,111312,7897,7953,4422,0,0
6-7,239,1019,567,1528,4772,3214,11096,5824,4946,5086,6952,5754,609,2361,5191,4904,285040,9768,2244,2807,0,0
7-8,5461,3877,623,1497,6018,2945,10088,4937,2908,4470,5566,5626,805,2222,6201,6020,785342,10440,1710,2618,0,0
8-9,948,2210,361,1440,4153,2948,98254,8462,3855,5278,4728,5483,532,2456,3351,5018,164274,9384,840,1830,0,0
9-10,923,1585,1240,1833,5014,3351,15073,7337,4904,6196,12535,7134,6889,2741,4818,5557,197959,10101,990,2356,0,0
10-11,879,2149,322,1236,3618,2934,16658,7530,3348,4905,4566,5608,604,2386,3938,5808,286794,9548,1429,2396,0,0
11-12,2364,2792,577,1718,4267,3449,20371,7817,3951,5025,5373,6409,663,2286,4395,6390,249344,10037,1210,2659,0,0
12-13,1108,2713,491,1606,5849,3204,15405,7094,5827,4635,6817,6111,700,2015,5791,5793,298891,9785,5556,4137,0,0
13-14,2682,2755,559,1467,4902,3544,9900,6252,4527,5047,6104,6021,621,1803,5265,5302,252425,10184,7296,3742,0,0
14-15,516,1642,626,1795,7294,3104,9270,6704,6841,6054,9629,6456,781,2439,7941,4717,1848257,14457,804,1884,0,0
15-16,819,2477,525,1648,4952,3457,6309,5574,4765,5962,6032,5236,721,2039,5573,5225,1950320,12690,771,2281,0,0
16-17,671,1685,430,1738,3958,3279,10311,6210,3682,5929,5141,5584,526,1976,4366,4866,119189,8355,561,1909,0,0
17-18,1034,2084,440,1537,4045,3614,3377,5038,3893,6221,5116,5726,557,2238,3523,4800,143120,8892,666,2387,0,0
18-19,1185,2316,574,1849,3866,3123,4668,5577,3227,4782,4744,5995,634,2463,3733,5155,225152,8419,812,2150,0,0
19-20,1305,2569,335,1519,3848,3593,4727,5375,3360,4793,4803,5330,323,1976,4218,6364,195915,9193,759,1886,0,0
20-21,1028,2557,159,1356,868,3140,1978,4298,275,2896,787,2740,113,2105,900,5522,58184,7218,204,1458,0,0
21-22,131,854,146,1507,1019,2642,823,3892,780,4690,1610,5938,147,1580,475,4564,20791,5969,69,634,0,0
