hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,0,0,0,22,0,0,1,0,0,38,103,3,167,0
1-2,0,555,0,36,0,0,31,0,0,635,29,0,1286,0
2-3,0,1050,0,67,0,0,69,0,0,693,452,0,2331,0
3-4,0,2605,0,59,0,0,156,0,0,1147,58,0,4025,1
4-5,4,6599,0,251,0,0,429,0,0,6705,5545,177,19710,5
5-6,198,29408,0,613,55,0,2225,0,0,29405,295134,815,357853,116
6-7,30526,64310,182,12015,5050,31709,3753,0,0,37659,98990,1117,285311,111
7-8,278,34442,14,1107,67,0,2761,0,0,39684,239563,1203,319119,103
8-9,755,27994,0,2008,52,36,2393,0,0,27157,312036,2116,374547,100
9-10,16,32852,0,1458,27,20,2064,0,0,25318,100531,1587,163873,51
10-11,293,62140,0,4400,362,107,4802,0,0,57517,476088,3106,608815,166
11-12,16,43432,0,3733,43,120,2802,0,0,32392,220994,3672,307204,99
12-13,32,31585,0,3198,68,92,2269,0,0,27475,307965,2160,374844,100
13-14,8,32009,0,695,20,0,2191,0,0,28934,115599,1159,180615,57
14-15,0,15377,8,567,27,4,1016,0,0,16114,121087,976,155176,41
15-16,8,11772,0,1294,22,14,834,0,0,9995,108569,902,133410,42
16-17,414512,27367,48107,33378,100859,12,2003,0,0,32262,257949,1114,917563,278
17-18,5458,20644,0,1512,64,12,1419,0,0,16982,160314,461,206866,66
18-19,1681,23428,82,1400,407,12,1691,0,0,24626,220136,1474,274937,73
19-20,8,16690,0,872,44,560,1191,0,0,14780,220935,1489,256569,82
20-21,8,19634,0,1680,66,102597,1343,0,0,22126,122142,770,270366,72
21-22,4,11256,0,358,21,39,991,0,0,13415,144962,1062,172108,55
22-23,0,1517,0,71,0,0,81,692,0,829,42543,346,46079,12
