hour,bcmapp_record_count,bcmapp_processing_rate,crmapp_record_count,crmapp_processing_rate,omsapp_record_count,omsapp_processing_rate,armapp_record_count,armapp_processing_rate,cpq1app_record_count,cpq1app_processing_rate,cpq2app_record_count,cpq2app_processing_rate,cpq3app_record_count,cpq3app_processing_rate,cpq4app_record_count,cpq4app_processing_rate,odoapp_record_count,odoapp_processing_rate,asmapp_record_count,asmapp_processing_rate,tc_record_count,tc_processing_rate
0-1,19,665,47,1834,0,0,0,0,15,1666,33,2999,3,375,17,2125,2118,4156,739,1894,0,0
1-2,486095,7036,95,1649,135,1664,206,3301,490,3161,141,2099,49,893,168,3581,21638,4852,198,1527,0,0
2-3,7986,5101,62,2066,54,1864,0,0,30,1562,72,2166,6,300,34,2006,1349,2229,168,1841,0,0
3-4,30042,12751,62,1968,122,2468,62,4769,88,3370,103,3006,9,306,58,1563,92,1235,6,286,0,0
4-5,1361,2297,327,1524,1349,2431,60,1585,1320,3264,2563,4981,177,914,887,2618,4798,4136,120,629,0,0
5-6,103,710,559,2143,1715,2855,24388,5427,1623,4030,2682,4519,387,1415,1906,3589,71799,6777,886,1933,0,0
6-7,754,1489,504,1360,5507,3227,4285,4941,5551,5086,7182,5873,819,2031,7230,4432,234008,8816,930,1670,0,0
7-8,958,2176,336,1352,3158,3192,7322,5418,2472,3869,3639,4431,576,1987,3853,4382,234630,9205,903,1919,0,0
8-9,1410,2029,352,1486,1934,2958,3303,5135,1267,4206,2220,3990,341,1493,2195,3797,113153,7241,827,1850,0,0
9-10,712,2548,403,1814,2084,3208,5040,4875,1896,4054,2898,4700,325,1679,2543,4056,127309,7908,927,1748,0,0
10-11,1061,3233,152,1290,1911,2902,6662,5190,933,2716,2525,4690,379,1823,2196,4298,103848,8377,849,1819,0,0
11-12,3513,3261,1308,2539,4357,3546,5987,5269,2725,4655,5844,6038,656,2053,3838,4894,152508,8773,885,2117,0,0
12-13,708,1754,586,2096,2655,2829,3336,4808,1989,3956,3959,5297,581,2062,2933,4119,118840,8081,810,1984,0,0
13-14,1221,1692,551,1883,3909,3356,3153,4925,3247,4239,4617,5710,602,2100,4612,4689,185170,9100,5271,3245,0,0
14-15,9068,4104,384,1635,3571,3397,3879,5103,2861,4381,4868,5402,544,2196,4385,4435,159577,8205,841,1839,0,0
15-16,467,1772,395,1562,4879,3698,3345,5152,6704,5929,5855,5837,730,2278,4372,5396,160696,8256,756,2233,0,0
16-17,409971,5913,230,1190,1238,2610,1427,5712,1556,3494,2098,3585,227,1497,1968,4493,64394,6245,591,1798,0,0
17-18,544310,3670,610,2514,2426,3000,2864,4605,1859,4105,3804,5520,606,2929,3017,5069,208257,8463,689,1694,0,0
18-19,431738,3377,362,1426,2375,2495,5435,5321,1984,4036,2991,4433,315,1804,2866,4560,107976,6869,484,1574,0,0
19-20,2071,3129,481,1763,2589,3002,3051,4483,1192,3262,3047,4559,428,1697,2964,5092,164070,8159,543,1603,0,0
20-21,268,1226,68,2006,451,3569,808,3359,27,785,48,2275,27,768,326,4206,11472,4546,225,1111,0,0
21-22,19,575,96,2828,81,1529,1091,5634,385,3790,568,4546,9,367,51,1357,803,3259,393,2299,0,0
22-23,22,652,128,3291,108,2510,0,0,60,2190,138,3558,12,500,68,1400,172,1801,372,3338,0,0
23-24,6,354,11728,7400,54,1968,0,0,30,1687,72,1658,6,364,34,1794,86,1190,90,503,0,0
