hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
4-5,4,5171,0,178,0,0,367,0,0,4089,4003,0,13812,7
5-6,0,5513,0,205,7,0,325,0,0,5863,4870,0,16783,4
6-7,8,13641,0,506,14,0,1060,0,0,16396,101600,0,133225,35
7-8,8,7143,0,349,21,0,731,0,0,9088,90314,0,107654,35
8-9,12,4368,0,324,14,0,497,0,0,4712,85306,0,95233,25
9-10,12,10451,0,450,27,0,974,0,0,13743,77270,0,102927,32
10-11,12,5769,0,513,65,7,533,0,0,4836,66442,0,78177,29
11-12,12,4062,0,316,14,0,506,0,0,5898,217535,0,228343,74
12-13,4,3387,0,168,14,0,342,0,0,3808,248579,0,256302,70
13-14,4,2571,0,426,57,4,207,0,0,2321,112110,0,117700,38
14-15,8,2234,0,559,69,9,177,0,0,1118,218724,0,222898,60
15-16,0,51,0,29,0,0,12,0,0,99,109913,188025,298129,58399
16-17,0,3674,0,214,0,0,164,0,0,2261,388165,3984030,4378508,168257
17-18,0,529,0,0,0,0,52,0,0,773,0,2645923,2647277,64912
18-19,0,0,0,0,0,0,0,0,1472,0,0,0,1472,0
19-20,0,0,0,0,0,0,2,0,0,0,503,1208623,1209128,126519
20-21,0,0,0,0,0,0,1,0,0,0,0,8403399,8403400,121309
21-22,0,0,0,0,0,0,0,0,0,0,0,710633,710633,32905
22-23,0,0,0,0,0,0,0,0,0,0,0,298347,298347,7736
23-24,0,0,0,0,0,0,0,0,0,0,0,1987498,1987498,222112
