hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,0,0,0,0,0,0,2,0,0,0,22,9,33,0
2-3,0,0,0,0,0,0,0,0,1472,0,0,0,1472,0
3-4,0,0,0,74,0,0,11,0,0,62,0,15,162,0
4-5,0,37940,0,162,0,0,1129,0,0,16506,1054,491,57282,14
5-6,0,18399,0,146,0,0,667,0,0,9895,370,676,30153,15
6-7,16,23923,0,1242,41,38,2582,0,0,31929,95724,2880,158375,40
7-8,30,17400,0,2770,51,47,1445,0,0,14139,39140,3136,78158,23
8-9,0,3739,0,495,6,6,279,0,0,3284,384307,1369,393485,642
9-10,4,40773,0,1571,264,3238,2280,0,0,27869,0,1026,77025,23
10-11,32,39191,0,1733,68,77,3025,0,0,43976,194497,5183,287782,77
11-12,27,45197,70,1657,130,21,2825,0,0,33558,6140,3736,93361,29
12-13,24,25645,0,1901,53,26,2256,0,0,27357,589713,3899,650874,178
13-14,0,16420,0,331,0,0,1010,0,0,14850,12769,1452,46832,13
14-15,20,22030,0,794,48,601,2265,0,0,27735,271605,1327,326425,88
15-16,4,19460,0,316,0,360,888,0,0,12031,38612,941,72612,22
16-17,23,7141,0,342,33,941,615,0,0,8485,304222,2342,324144,87
17-18,4,14630,0,738,12,14,866,0,0,9632,22559,518,48973,16
18-19,16,32192,0,1403,57,22,1679,0,0,25470,214470,1501,276810,74
19-20,16,27031,0,1594,449,0,1160,0,0,22718,1219,1029,55216,16
20-21,8,12525,0,291,0,0,943,0,0,13321,330756,264,358108,116
21-22,4,2180,0,88,7,0,189,694,0,2271,27663,308,33404,12
22-23,0,133,0,29,0,0,12,0,0,57,30021,1348,31600,25
23-24,0,0,0,0,0,0,0,0,0,0,0,679,679,0
