hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
6-7,0,3993,0,518,0,5,225,0,0,4057,25887,101,34786,33
7-8,0,220,0,5,0,0,15,0,0,228,22,0,490,0
8-9,0,281,0,19,0,0,25,0,0,184,1340,5,1854,1
9-10,0,0,0,0,0,0,10,0,0,0,0,0,10,0
10-11,0,5051,0,1988,0,82,308,0,0,2879,18784,36,29128,9
11-12,0,522,0,51,0,0,36,0,0,413,25,0,1047,0
12-13,0,0,0,0,0,0,4,0,0,0,49,0,53,0
13-14,0,224,0,24,0,0,13,0,0,230,0,0,491,0
14-15,0,946,0,27,0,0,57,0,0,446,410,0,1886,0
15-16,0,220,0,24,0,0,13,0,0,234,0,0,491,0
16-17,0,219,0,44,0,0,16,0,0,324,79,0,682,0
17-18,0,474,0,25,0,0,27,0,0,453,725,0,1704,1
18-19,0,579,17,46,0,0,42,0,0,478,50,0,1212,0
19-20,0,0,0,3,0,0,3,0,0,10,22,0,38,0
20-21,0,519,0,44,0,0,34,0,0,407,54,0,1058,0
21-22,0,71,0,4,0,0,8,0,0,93,0,2,178,0
22-23,0,219,0,43,0,0,27,0,0,298,50,0,637,0
23-24,0,220,0,1,0,0,16,0,0,184,0,0,421,0
