hour,bcmapp_record_count,bcmapp_processing_rate,crmapp_record_count,crmapp_processing_rate,omsapp_record_count,omsapp_processing_rate,armapp_record_count,armapp_processing_rate,cpq1app_record_count,cpq1app_processing_rate,cpq2app_record_count,cpq2app_processing_rate,cpq3app_record_count,cpq3app_processing_rate,cpq4app_record_count,cpq4app_processing_rate,odoapp_record_count,odoapp_processing_rate,asmapp_record_count,asmapp_processing_rate,tc_record_count,tc_processing_rate
0-1,0,0,0,0,0,0,396,11000,0,0,0,0,0,0,0,0,3749,2844,6,600,0,0
1-2,0,0,0,0,0,0,13,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-3,0,0,0,0,0,0,240,3688,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-4,6,500,96,2836,0,0,0,0,0,0,0,0,43,2159,84,2770,91,2113,15,833,0,0
4-5,12,309,166,1707,1917,3117,200,3746,3059,5278,1755,4957,165,1296,901,4083,24960,5701,144,808,0,0
5-6,5908,1929,1108,2401,5362,3489,27146,7735,4671,6061,4235,5738,364,1760,2820,4623,80606,7100,596,1587,0,0
6-7,337,976,872,2258,4955,3070,10094,7593,5183,6358,7873,6371,773,2343,4988,5270,138776,8422,1143,2179,0,0
7-8,649,1787,911,2357,6693,3767,8181,7197,9505,6753,6281,5951,776,2217,4169,5493,270664,8775,1071,1871,0,0
8-9,406,1512,362,1694,2227,3191,6980,6698,2049,5096,3054,5195,410,1762,2637,4899,118590,7056,621,1818,0,0
9-10,818,2083,519,1933,8206,4129,6634,6645,11895,6706,5823,6288,709,2686,5186,5763,276246,9497,1713,3075,0,0
10-11,2259,2614,920,1846,13066,4461,7467,7442,20091,8591,8676,7527,1045,2493,8010,6429,291534,9321,1563,3030,0,0
11-12,1443,3477,432,1677,4388,3483,14235,7951,3518,5570,5012,6421,682,2486,4717,6111,255341,9535,2076,3890,0,0
12-13,1696,2749,447,1802,5040,3599,6517,7014,6333,6238,4553,5679,521,2282,3927,5450,85007,7750,672,2096,0,0
13-14,1766,3293,239,1444,2923,3271,12236,8433,2615,4388,3389,5289,565,2628,3854,5605,316636,9033,1404,2997,0,0
14-15,828,2917,111,828,2116,3117,7919,6780,1428,3987,2254,3839,360,1605,2812,5352,236835,9357,1596,3061,0,0
15-16,633,3226,1078,2364,958,2929,7358,7724,657,3273,1185,2953,177,2241,1279,4328,178625,7809,888,2485,0,0
16-17,224,2786,54,1203,1112,2846,2913,5174,739,4516,899,3526,161,1524,1200,5488,108940,6751,543,1818,0,0
17-18,206,1823,96,1611,900,2780,1780,5158,827,2461,921,3973,176,1586,1177,4140,51660,6440,555,1994,0,0
18-19,42,560,303,1805,2614,2774,3025,5061,3947,4796,2511,4775,475,1801,2007,4691,177090,8217,402,1650,0,0
19-20,52,858,217,1161,1083,2347,1547,3677,1954,3655,1589,4044,265,2104,1254,4024,107309,7335,546,2104,0,0
20-21,24,485,125,1103,471,1498,2110,3757,269,2604,894,4002,247,2759,844,3612,138282,7459,557,1710,0,0
21-22,10,1000,0,0,0,0,302,9151,0,0,0,0,0,0,0,0,1044,2929,366,4049,0,0
22-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,375,0,0
