hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,0,0,0,0,0,0,2,0,0,0,2358,418,2778,3
1-2,0,0,0,0,0,0,0,0,0,0,0,147,147,0
4-5,0,0,0,0,0,0,8,0,0,0,9734,260,10002,8
5-6,0,530,48,36,6,0,65,0,0,1091,15182,0,16958,8
6-7,0,51,0,25,0,0,1,0,0,71,1363,8,1519,2
7-8,0,10738,0,1575,586,26697,418,0,0,8828,33868,0,82710,43
8-9,0,328,33,32,7,0,53,0,0,481,12482,579,13995,20
9-10,0,0,0,0,0,0,0,0,0,0,0,61,61,0
11-12,0,0,0,0,0,0,7,0,0,0,0,0,7,0
12-13,0,0,0,0,0,0,1,0,0,0,1674,30,1705,1
15-16,0,0,15,0,0,0,0,0,0,0,0,0,15,0
20-21,0,0,17,0,0,0,0,0,0,0,0,0,17,0
21-22,0,0,0,0,0,0,0,0,0,0,0,4,4,0
