hour,bcmapp_record_count,bcmapp_processing_rate,crmapp_record_count,crmapp_processing_rate,omsapp_record_count,omsapp_processing_rate,armapp_record_count,armapp_processing_rate,cpq1app_record_count,cpq1app_processing_rate,cpq2app_record_count,cpq2app_processing_rate,cpq3app_record_count,cpq3app_processing_rate,cpq4app_record_count,cpq4app_processing_rate,odoapp_record_count,odoapp_processing_rate,asmapp_record_count,asmapp_processing_rate,tc_record_count,tc_processing_rate
0-1,98924,940,0,0,0,0,95,1950,0,0,0,0,0,0,0,0,995,3883,167,2836,0,0
1-2,0,0,27880,51,128,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-3,9,178,91,478,108,533,47,469,54,880,33,282,22,358,82,651,333,1057,9,105,0,0
3-4,8,299,64,786,306,1433,32,858,277,1187,876,2157,70,750,84,738,3067,2818,9,266,0,0
4-5,47,381,294,907,1297,2241,2233,2891,1260,3005,2369,3403,388,1303,2315,3126,76938,6294,651,1260,0,0
5-6,2554,1852,583,1267,5717,3414,30853,6017,5109,4906,7009,5689,695,1645,6182,4779,137508,8454,843,1796,0,0
6-7,1241,1634,569,1287,3050,3085,6445,5647,2465,4207,3975,5287,572,1932,3649,4223,159330,7946,1112,2244,0,0
7-8,1146,1975,53900,2492,5697,3390,9112,4891,6128,5593,8398,6097,788,1743,6383,4751,173129,7728,507,1537,0,0
8-9,1670,2513,651,1632,4124,3707,6687,5776,3656,4849,4636,5052,805,2271,4654,5538,334498,8806,1098,2677,0,0
9-10,1747,2146,836,1689,4618,3310,10948,6533,4583,6083,7252,6908,769,2476,5264,4397,224967,8400,720,2076,0,0
10-11,1349,2710,488,1723,4798,3713,15912,6833,3937,6006,5155,5909,479,2202,5459,5269,200583,8336,996,2297,0,0
11-12,2792,3613,321,1477,3768,3440,5837,5711,1833,4741,3314,4893,486,2047,3961,5381,189409,9328,954,2777,0,0
12-13,556,1606,533,1681,4375,3594,4729,5694,3306,5235,5365,5976,525,1964,4580,5351,188290,8961,1116,2564,0,0
13-14,2393,3153,922,2020,4863,3704,6799,5751,4218,6008,5528,5992,685,2210,3995,5306,149017,9037,1007,2351,0,0
14-15,726,1736,428,1343,2621,3066,7752,6341,1582,3481,2770,4470,400,1609,2939,4947,117356,7917,531,1849,0,0
15-16,572,1729,274,1514,2987,3382,4871,5581,3130,5240,3878,5583,221,1279,2919,4760,37943,6812,180,1054,0,0
16-17,220,1231,264,1569,1659,2555,1462,3982,1516,3623,2235,5749,329,2203,2018,4767,122520,8503,441,1550,0,0
17-18,299,1976,78,1083,601,2709,4709,5035,530,4691,620,6186,44,1482,613,3313,20421,5430,135,1099,0,0
18-19,632,2727,163,1900,1405,3477,2783,4904,1303,5160,1578,5937,105,2256,958,4283,22190,5258,123,783,0,0
19-20,1030,2671,126,823,2419,2961,4278,5293,3049,6079,2255,4933,309,1654,2573,4636,120788,8871,528,1541,0,0
20-21,460,3433,14,777,656,2585,3041,5083,1119,4983,688,3663,65,1554,501,4548,8626,4891,39,721,0,0
21-22,3,272,63,891,1484,2879,539,4481,1763,5017,2086,4808,72,1270,922,3832,740,3366,18,466,0,0
22-23,10,1000,0,0,0,0,61,1619,51,2833,178,6276,21,2100,216,6750,0,0,363,3696,0,0
23-24,6,333,66,1425,146,3650,0,0,134,7444,292,6156,31,1833,120,3195,506,2368,6,302,0,0
